"idx","julgamento","nota","julgamento_automatico","justificativa","estrato","uf","sg_ue","ano_eleicao","nome_fonte","papel","causa","tipo_evento","data_evento","data_retorno","titular_nome","id_mandato_titular","confianca","url","observacao"
"1","","","certo","licenca maternidade 06/01/2020 lida como titular_saiu; fim 03/07/2020 no texto nao capturado (sem marcador de retorno)","com_data_interregno_temporario","PR","74330","2016","TATIANE GEÓRGIA MARTINEZ SERESSUELA","titular_saiu","licenca_maternidade","interregno_temporario","2020-01-06",NA,NA,NA,"media","https://sapl.marilandiadosul.pr.leg.br/api/parlamentares/mandato/150/","Licença Maternidade de 180 (cento e oitenta) dias para a vereadora Tatiane Georgia Martinez Seressuela – matricula 102, de 06 de janeiro de 2020 a 03 de julho de 2020"
"2","","","parcial","papel, causa e tipo certos; data_evento 01/01/1997 e a posse, a licenca comeca em 17/02/1999","com_data_interregno_temporario","PR","76830","1996","Moacir Luiz Froehlich","titular_saiu","licenca_sem_causa","interregno_temporario","1997-01-01",NA,NA,NA,"media","https://sapl.marechalcandidorondon.pr.leg.br/api/parlamentares/mandato/63/","Exerceu o mandato de Vereador no período entre (01/01/1997 - 31/12/2000). 
Solicitou licença no período entre (17/02/1999 - 03/04/2000), assumindo em seu lugar os suplentes: Germino Bresolin e Mario Adams."
"3","","","parcial","data e do 1o afastamento (01/01/2021, cargo na gestao municipal); causa 'particular' vem da 2a licenca; retorno 22/06/2022 nao lido","com_data_interregno_temporario","CE","15857","2020","Raphael Pessoa Mota","titular_saiu","licenca_particular","interregno_temporario","2021-01-01",NA,NA,NA,"media","https://sapl.maracanau.ce.leg.br/api/parlamentares/mandato/17/","O Vereador se licenciou em 1º de janeiro de 2021 para assumir cargo na gestão municipal, assumindo em seu lugar o suplente, Edízio Moreira da Silva, retornando da licença no dia 22/06/2022. O Vereador se licenciou novamente no dia 01/07/2022 para tratar de interesse particular, retornando ao mandato no dia 05/08/2022 e em seu lugar assumiu ao mandato o Sr. Wagner Nogueira da Silva Lima. O Vereador se licenciou novamente para tratar de assunto de interesse particular no dia 11/08/2022, assumindo em seu lugar o suplente Wagner Nogueira da Silva Lima."
"4","","","parcial","texto diz afastamento por ordem judicial, causa lida como afastamento sem causa (mesma forma); readmissao 28/08/2006 nao lida","com_data_interregno_temporario","RJ","58041","2004","DENIS DE SOUZA MACEDO","titular_saiu","afastamento_sem_causa","interregno_temporario","2006-08-14",NA,NA,NA,"media","https://sapl.belfordroxo.rj.leg.br/api/parlamentares/mandato/213/","O VEREADOR FOI AFASTADO TEMPORARIAMENTE POR ORDEM JUDICIAL EM 14/08/2006 ATRAVÉS DO ATO DA PRESIDÊNCIA Nº013/2006, PUBLICADO EM 18/08/2006 NO JORNAL HORA H.

O VEREADOR FOI READMITIDO NO EXERCÍCIO DO MANDATO POR ORDEM JUDICIAL EM 28/08/2006 ATRAVÉS DO ATO DA PRESIDÊNCIA Nº014/2006 PUBLICADO EM 29/08/2006."
"5","","","certo","suplente empossada em 03/01/2025 por licenca do titular para secretaria; titular Apollo Vicz nao capturado","com_data_interregno_temporario","CE","13897","2024","Raimunda Claudenira da Rocha Barros","suplente_assumiu","licenca_cargo_executivo","interregno_temporario","2025-01-03",NA,NA,NA,"media","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/592/","Vereadora tomou posse no dia 3 de Janeiro de 2025, em virtude da licença para assumir o cargo de Secretário Municipal de Proteção Animal do Vereador Apollo Vicz, por meio do Requerimento nº 149/2025.

Vereadora tomou posse no dia 26 de março de 2026, em virtude da licença para assumir o cargo de Secretário-Chefe do Gabinete do Prefeito, do Vereador Eudes Bringel, por meio do Requerimento nº 144/2025."
"6","","","parcial","'primeiro secretario da Mesa Diretora' lido como cargo executivo; a licenca de 19/05/1997 nao tem causa no texto (licenca_sem_causa)","com_data_interregno_temporario","MT","98310","1996","Jefferson Xavier Dutra","titular_saiu","licenca_cargo_executivo","interregno_temporario","1997-05-19",NA,NA,NA,"media","https://sapl.juina.mt.leg.br/api/parlamentares/mandato/84/","primeiro secretário Mesa Diretora 1999/2000
licenciado de 19/05/1997 a 09/06/1997
licenciado de 13/04/1997 a 18/05/1998
afastado do cargo de 29/11/1999"
"7","","","parcial","entrada do suplente em 06/01/1997 foi por licenca sem causa de Ernido Geis; 'particular' e licenca do proprio suplente; data e retorno 20/11/1999 certos","com_data_interregno_temporario","RS","85014","1996","Aldo Alberto Wilhelm","suplente_assumiu","licenca_particular","interregno_temporario","1997-01-06","1999-11-20",NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/26/","Assumiu o mandato em 06/01/1997 durante a licença do Ver. Ernido Geis; licenciou-se para tratar de assuntos de interesse particular de 01/01/1999 até 30/06/1999 e de 20/11/1999 até 31/12/1999; retornou à suplência, com o retorno do Ver. Ernido Geis, em 20/11/1999."
"8","","","errado","sem evento: '2o Secretario da Mesa Diretiva' lido como cargo executivo; 01/01/2021 e a posse","com_data_interregno_temporario","PR","76830","2020","Moacir Luiz Froehlich","titular_saiu","licenca_cargo_executivo","interregno_temporario","2021-01-01",NA,NA,NA,"media","https://sapl.marechalcandidorondon.pr.leg.br/api/parlamentares/mandato/214/","Atualmente, exerce o mandato de Vereador no período entre (01/01/2021 - 31/12/2024), de 2º Secretário da Mesa Diretiva e de Membro da Comissão de Obras e Serviços Públicos, biênio (2023 - 2024)."
"9","","","certo","afastou-se para Secretario Municipal de Governo em 10/03/2023","com_data_interregno_temporario","RN","16454","2020","Paulo Givago Barreto Alves","titular_saiu","licenca_cargo_executivo","interregno_temporario","2023-03-10",NA,NA,NA,"media","https://sapl.caraubas.rn.leg.br/api/parlamentares/mandato/22/","Afastou-se para exercer o cargo de Secretário Municipal de Governo dia 10/03/2023 através do Requerimento Nº 001/2023."
"10","","","parcial","licenca medica de 07/02 a 07/04/2025; data_evento 07/04/2025 e o fim (07/02 sem ano no texto)","com_data_interregno_temporario","MT","90689","2024","Daise Martins de Souza","titular_saiu","licenca_saude","interregno_temporario","2025-04-07",NA,NA,NA,"media","https://sapl.tapurah.mt.leg.br/api/parlamentares/mandato/98/","* Licença médica pelo período de 60 dias (07/02 a 07/04/2025), nos termos da Resolução nº 137/2025."
"11","","","parcial","data e do 1o afastamento (secretaria, 21/07/2022); causa judicial vem do 2o (29/05/2023)","com_data_interregno_temporario","SP","71218","2020","Carlos Eduardo de Jesus Oliveira","titular_saiu","afastamento_judicial","interregno_temporario","2022-07-21",NA,NA,NA,"media","https://sapl.saovicente.sp.leg.br/api/parlamentares/mandato/17/","Primeiro afastamento ocorreu quando vereador assumiu secretaria no poder executivo 21/07/2022.  
Segundo afastamento ocorreu por decisão judicial em 29/05/2023"
"12","","","parcial","entrada em 06/09/1999 por licenca de Nico Stefenon; 'particular' e licenca do proprio suplente","com_data_interregno_temporario","RS","85014","1996","Arnaldo Killian","suplente_assumiu","licenca_particular","interregno_temporario","1999-09-06",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/29/","Assumiu o mandato, durante licença do Ver. Nico Stefenon, de 06/09/1999 a 30/09/1999, e, durante licença do Ver. Léo Annunciação, de 01/10/1999 a 31/10/1999, licenciando-se, para tratar de assuntos interesse particular, de 01/10/1999 até 31/10/1999, quando retornou à suplência."
"13","","","certo","licenca para tratamento de saude 12/12/2013; retorno 26/12/2013 nao lido","com_data_interregno_temporario","RS","85014","2012","Cleber Emilio Cassel","titular_saiu","licenca_saude","interregno_temporario","2013-12-12",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/178/","Licenciou-se para tratamento de saúde de 12/12/2013 a 26/12/2013; assumiu o cargo de Vice-Presidente em 10/01/2014 em virtude da licença concedida ao Ver. João de Deus; licenciou-se para tratamento de saúde de 12/12/2016 a 13/12/2016."
"14","","","certo","suplente cumpriu mandato durante licenca dos titulares a partir de 06/08/2018","com_data_interregno_temporario","RS","85014","2016","Auro Reinoldo Kirinus","suplente_assumiu","licenca_sem_causa","interregno_temporario","2018-08-06",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/198/","Cumpriu mandato, durante licença concedida aos Vereadores Professor Mauro e Gelson Neuenschwander, 06/08/2018 a 30/08/2018, Rui Milbradt e Gelson Neuenschwander, de 02/09/2019 a 29/09/2019, Rui Milbradt, a partir de 18/05/2020 e até 30/06/2020,e Carlito Schiefelbein, de 30/11/2020 até 31/12/2020."
"15","","","certo","afastamento 16/01/2004 a 31/03/2004; fim nao lido","com_data_interregno_temporario","MG","42714","2000","José Ibraim Pereira","titular_saiu","afastamento_sem_causa","interregno_temporario","2004-01-16",NA,NA,NA,"media","https://sapl.careacu.mg.leg.br/api/parlamentares/mandato/178/","Período de afastamento: 16/01/2004 à 31/03/2004"
"16","","","certo","licenciou-se para Secretario Municipal em 16/05/2003","com_data_interregno_temporario","RO","00574","2000","José Barbosa Gonçalves","titular_saiu","licenca_cargo_executivo","interregno_temporario","2003-05-16",NA,NA,NA,"media","https://sapl.mirantedaserra.ro.leg.br/api/parlamentares/mandato/55/","Licenciou-se para Assunção de Mandato de Secretario Municipal em 16/05/2003"
"17","","","certo","licenca por interesse particular de 26/03/2010","com_data_interregno_temporario","RS","85014","2008","Rui Valdir Milbradt","titular_saiu","licenca_particular","interregno_temporario","2010-03-26",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/160/","Licenciou-se para tratar de assuntos de interesse particular de 26/03/2010 a 25/04/2010 e de 07/05/2010 a 05/06/2010."
"18","","","parcial","papel, causa e tipo certos; data_evento 01/01/2017 e a posse, a licenca comeca em 24/04/2019","com_data_interregno_temporario","PR","76830","2016","Arion Augusto Nardello Nasihgil","titular_saiu","licenca_particular","interregno_temporario","2017-01-01",NA,NA,NA,"media","https://sapl.marechalcandidorondon.pr.leg.br/api/parlamentares/mandato/46/","Exerceu o mandato de Vereador no período entre (01/01/2017 - 31/12/2020).
Solicitou licença no período entre (24/04/2019 - 24/05/2019), para tratar de interesses particulares, assumindo em seu lugar a suplente Maria Amália Ritt Haab, conforme (Ato da Mesa n.º 15/2019)."
"19","","","errado","cassacao e do prefeito Felipe Naufel; o vereador assumiu a prefeitura em 08/02/2020 e voltou em 08/07/2020: interregno por cargo executivo, nao fim de mandato","com_data_fim_de_mandato","SP","67113","2016","Elias de Sisto","titular_saiu","cassacao","fim_de_mandato","2020-02-08","2020-07-08",NA,NA,"media","https://sapl.mococa.sp.leg.br/api/parlamentares/mandato/31/","Após a cassação do mandato de Prefeito Municipal do Sr. Felipe Niero Naufel em 8 de fevereiro de 2020, e ocorrida a dupla vacância, conforme o art. 54, § 2º, da Lei Orgânica Municipal (Redação dada pela Emenda nº 01/2018), o Presidente da Câmara Elias de Sisto, eleito para o biênio 2019/2020, foi empossado no cargo de Prefeito Municipal para cumprir o restante do mandato 2017/2020.
Devido a decisão judicial, o Prefeito cassado Felipe Niero Naufel retornou ao cargo em 08/07/2020, e Elias de Sisto retornou ao cargo de Vereador e Presidente da Câmara Municipal."
