"uf","sg_ue","ano_eleicao_bocel","nome_fonte","titular","id_mandato_sapl","url","observacao"
"AM","02011","2016","Nerita de Castro Menezes","TRUE","1","https://sapl.novoairao.am.leg.br/api/parlamentares/mandato/1/","Atual Presidente da Casa."
"AM","02259","2020","Edilson de Oliveira Lima","FALSE","31","https://sapl.coari.am.leg.br/api/parlamentares/mandato/31/","Não peretence mais ao quadro de vereadores da Legislatura 2021-2024 por ter sido eleito como Vice-Prefeito nas Eleições Suplementares de 2021"
"AM","02275","2004","SIDNEY HERNANI DE OLIVEIRA","TRUE","42","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/42/","Pelo Partido PPS."
"AM","02275","2008","AMARILDO PAIVA DE SOUZA","TRUE","28","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/28/","Pelo partido PSB"
"AM","02275","2008","ISAIAS VICENTE DE SOUZA","TRUE","33","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/33/","Pelo Partido PTB"
"AM","02275","2012","EVANDRO DELMIRO FEITOSA","TRUE","26","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/26/","Pelo partido PTN"
"AM","02275","2012","ISAIAS VICENTE DE SOUZA","TRUE","32","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/32/","Pelo Partido PTB"
"AM","02976","2024","Silvano Menezes Rodrigues","TRUE","14","https://sapl.boavistadoramos.am.leg.br/api/parlamentares/mandato/14/","O vereador mais votado nas eleições 2024 no município de Boa Vista do Ramos"
"BA","33553","1996","Antônio Lopes de Araújo","TRUE","141","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/141/","Líder da Minoria na 12 Legislatura (1997-2000)."
"BA","33553","1996","Clemens José Cajazeira Ramos","TRUE","132","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/132/","Líder da Maioria na 12 Legislatura (1997-2000)."
"BA","33553","2000","Adalberto Caires Rocha","TRUE","149","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/149/","Líder da Minoria na 13 Legislatura, no biênio 2003/2004."
"BA","33553","2000","Antônio Renato da Silva Caires","TRUE","153","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/153/","Líder da Maioria na 13 Legislatura no biênio 2003/2004."
"BA","33553","2000","Marcos Aguiar Viana","TRUE","150","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/150/","Líder da Minoria na 13 Legislatura, no biênio 2001-2002."
"BA","33553","2000","VALTER SILVA PEREIRA","TRUE","151","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/151/","Líder da Maioria na 13 Legislatura, no biênio 2001/2002."
"BA","33553","2008","Antônio Lopes de Araújo","TRUE","166","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/166/","Líder da Maioria na 15 Legislatura, no biênio 2009/2010."
"BA","33553","2008","Marcos Aguiar Viana","TRUE","163","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/163/","Líder da Maioria na 15 Legislatura, no biênio 2011/2012."
"BA","33553","2008","VALDNEI DA SILVA CAIRES","TRUE","167","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/167/","Líder da Minoria na 15 Legislatura, do biênio 2009/2010."
"BA","33553","2008","VALTER SILVA PEREIRA","TRUE","170","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/170/","Líder da Minoria na 15 Legislatura, do biênio 2011-2012."
"BA","33553","2012","Admo Marcelo da Conceição Elva","TRUE","172","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/172/","Líder da Oposição na 16 Legislatura do biênio 2015/2016."
"BA","33553","2012","ALESSANDRO SANTOS PEREIRA","TRUE","177","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/177/","Vice-Líder da Situação na 16 Legislatura do biênio 2013/2014."
"BA","33553","2012","ELZITO FREITAS SILVA","TRUE","178","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/178/","Líder da Situação na 16 Legislatura, no biênio 2015/2016."
"BA","33553","2012","Eronilson Martins de Souza","TRUE","180","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/180/","Vice-Líder da Oposição na 16 Legislatura - 2013/2016."
"BA","33553","2012","GILSON DANTAS PEREIRA","TRUE","174","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/174/","Vice-Líder da Situação na 16 Legislatura, do biênio 2015/2016."
"BA","33553","2012","VALDNEI DA SILVA CAIRES","TRUE","179","https://sapl.barradaestiva.ba.leg.br/api/parlamentares/mandato/179/","Líder da Oposição na 16 Legislatura, do biênio 2013/2014."
"BA","34673","2000","Adalberto Neres Pinto Gordiano","TRUE","186","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/186/","Partido PT"
"BA","34673","2000","Aldomir Mota Mascarenhas","TRUE","191","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/191/","Partido PP"
"BA","34673","2000","Arivaldo Ferreira Mota","TRUE","187","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/187/","Partido PT"
"BA","34673","2000","Edevaldo Santiago Ramos","TRUE","188","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/188/","Partido PP"
"BA","34673","2000","Eliana Cirino Cruza","TRUE","189","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/189/","Partido PMDB
Coligação PMDB / PSC / PPS / PFL"
"BA","34673","2000","Gersonilton Martins da Silva","TRUE","190","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/190/","Partido PTB"
"BA","34673","2000","Gilberto Oliveira Carneiro","TRUE","179","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/179/","Partido PL"
"BA","34673","2000","José Anaedson Reis Mota","TRUE","185","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/185/","Partido PTB"
"BA","34673","2000","José Cirino de Araújo","TRUE","178","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/178/","Partido PFL"
"BA","34673","2000","José Jailmo Pereira Gomes","TRUE","180","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/180/","Partido PFL
Coligação PMDB / PSC / PPS / PFL"
"BA","34673","2000","Josivaldo Lopes da Silva","TRUE","177","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/177/","Partido PP"
"BA","34673","2000","Jurandir Lopes Carneiro","TRUE","181","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/181/","Partido PMDB
Coligação PMDB / PSC / PPS / PFL"
"BA","34673","2000","Maria Eugênica C. de Lima Carneiro","TRUE","182","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/182/","Partido PP"
"BA","34673","2000","Maria Neuza Moraes Carneiro","TRUE","183","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/183/","Partido PTB"
"BA","34673","2000","Pedro Cordeiro dos Santos","TRUE","184","https://sapl.conceicaodocoite.ba.leg.br/api/parlamentares/mandato/184/","Partido PTB"
"BA","35971","2020","Diego Pitanga dos Santos","FALSE","47","https://sapl.itabuna.ba.leg.br/api/parlamentares/mandato/47/","O parlamentar titular, Manoel Carlos de Jesus Porfírio, reassumiu o mandato, conforme o """"Termo de reassunção ao cargo de vereador do município de Itabuna"""", publicado no Diário Oficial em 26/10/2023."
"BA","36692","2012","CRISÓSTOMO ANTONIO LIMA","TRUE","28","https://sapl.juazeiro.ba.leg.br/api/parlamentares/mandato/28/","Eleito Deputado Estadual"
"BA","36692","2024","Ailton Batista da Costa","TRUE","89","https://sapl.juazeiro.ba.leg.br/api/parlamentares/mandato/89/","Para assumir a pasta de Desenvolvimento Rural, abrindo vaga para o vereador Dr. Salvador, primeiro suplente da Federação partidária PT/PV/PCdoB."
"BA","37893","2016","ORGETO BASTOS DOS SANTOS","FALSE","1","https://sapl.pilaoarcado.ba.leg.br/api/parlamentares/mandato/1/","Assumiu o Cargo de Prefeito até a realização de Novo Pleito Majoritário neste Município."
"BA","39659","2020","Edivaldo Santos Ferreira Júnior","TRUE","46","https://sapl.vitoriadaconquista.ba.leg.br/api/parlamentares/mandato/46/","Vereador foi diplomado após decisão do TSE de recontagem votos."
"CE","13188","2016","Luciano Nogueira da Silva","FALSE","22","https://sapl.horizonte.ce.leg.br/api/parlamentares/mandato/22/","O Vereador assumiu no lugar do Vereador Luciano Pinheiro"
"CE","13196","2024","Carlos Cesar Gomes","TRUE","149","https://sapl.aquiraz.ce.leg.br/api/parlamentares/mandato/149/","Para ocupar cargo de Assessor de Relações Institucionais da Prefeitura Municipal de Aquiraz, assumindo o mandato em seu lugar o suplente de Vereador Ronaldo Lima."
"CE","13218","2016","Michelson dos Santos Silva","FALSE","25","https://sapl.aracati.ce.leg.br/api/parlamentares/mandato/25/","O Vereador finda o madato por decisão da justiça eleitoral que cassou o seu diploma, sicando como titular a 1ª Suplente do Seu partido, Vereador Roberta."
"CE","13439","2008","Francisco Cláudio Filgueira","TRUE","56","https://sapl.beberibe.ce.leg.br/api/parlamentares/mandato/56/","O Vereador é suplente e assumiu ao cargo no lugar do Vereador Robério Facó."
"CE","13897","1996","Agostinho Frederico Carmo Gomes","TRUE","248","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/248/","O Vereador é suplente."
"CE","13897","2000","Antonio Durval Ferraz Soares","TRUE","170","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/170/","O Vereador era suplente nas eleições, e por ocasião da eleição do Vereador José Aiton Cirilo para o cargo de Deputado Estadual em 2002, o mesmo ficou efetivo no cargo no biênio 2003-2004."
"CE","13897","2000","Francisco Cunha Saldanha","TRUE","172","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/172/","O Vereador era suplente e se efetivou no cargo no biênio 2003-2004."
"CE","13897","2000","José Elson Damasceno","TRUE","173","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/173/","O Vereador era suplente e se efetivou no cargo em 2003 por ocasião da eleição do Vereador Francisco Caminha para o cargo de Deputado Estadual em 2002."
"CE","13897","2000","José Maria Couto Bezerra","TRUE","143","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/143/","O Vereador foi Presidente da Casa no biênio 2001-2002."
"CE","13897","2000","Paulo César Feitosa Arrais","TRUE","171","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/171/","O Vereador era suplente e se efetivou no cargo em 2003."
"CE","13897","2000","Paulo de Tarso Campos Ferreira","TRUE","179","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/179/","O Vereador é suplente."
"CE","13897","2000","Paulo de Tarso Facó Bezerra","TRUE","174","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/174/","O Vereador é suplente."
