id_mandato,data_evento,tipo_evento,dist
"M2000_85014_13_12617_296","2002-04-24","fim_de_mandato",2
"M2004_85014_13_15123_152","2005-01-03","interregno_temporario",2
"M2004_85014_13_45678_160","2007-02-06","interregno_temporario",40
"M2008_13897_13_10000_9729","2012-02-15","interregno_temporario",1
"M2008_85014_13_11666_10143","2010-03-26","interregno_temporario",25
"M2008_85014_13_15123_9475","2009-01-02","interregno_temporario",1
"M2008_85014_13_15789_9481","2011-02-15","interregno_temporario",33
"M2012_13897_13_12345_60000006762","2014-09-01","interregno_temporario",5
"M2012_13897_13_19999_60000008489","2014-01-02","interregno_temporario",14
"M2012_13897_13_20111_60000003365","2014-07-01","interregno_temporario",0
"M2012_13897_13_31111_60000012869","2014-07-01","interregno_temporario",0
"M2012_44458_13_12200_130000075270","2015-03-02","interregno_temporario",4
"M2012_45837_13_13580_130000003904","2016-05-06","interregno_temporario",48
"M2012_61280_13_45678_250000040990","2013-11-07","interregno_temporario",9
"M2012_66990_13_15111_250000050968","2013-11-05","interregno_temporario",0
"M2012_66990_13_22100_250000030884","2013-11-05","fim_de_mandato",0
"M2012_70033_13_14500_250000020499","2014-07-13","interregno_temporario",9
"M2012_76473_13_36789_160000022962","2016-01-28","interregno_temporario",136
"M2012_86134_13_13123_210000004945","2013-08-03","interregno_temporario",16
"M2012_98191_13_23100_110000002357","2016-04-01","interregno_temporario",25
"M2012_98191_13_55850_110000003394","2013-01-02","interregno_temporario",894
"M2012_98310_13_15670_110000003247","2013-01-02","interregno_temporario",1069
"M2016_02534_13_36777_40000008007","2017-01-02","interregno_temporario",1134
"M2016_02534_13_90123_40000007003","2017-01-01","interregno_temporario",1395
"M2016_13188_13_12444_60000005591","2019-09-01","interregno_temporario",3
"M2016_13188_13_27111_60000005577","2019-09-01","interregno_temporario",3
"M2016_13218_13_40123_60000011683","2019-05-08","interregno_temporario",576
"M2016_13218_13_77333_60000016095","2020-05-25","interregno_temporario",72
"M2016_13897_13_12111_60000002654","2019-02-01","fim_de_mandato",0
"M2016_13897_13_12662_60000002639","2019-05-06","fim_de_mandato",545
"M2016_13897_13_17123_60000013671","2018-08-08","interregno_temporario",40
"M2016_13897_13_19000_60000009235","2018-06-01","interregno_temporario",2
"M2016_13897_13_22013_60000004371","2018-02-15","interregno_temporario",9
"M2016_13897_13_22190_60000004360","2017-11-01","fim_de_mandato",21
"M2016_13897_13_23999_60000002594","2018-02-08","interregno_temporario",47
"M2016_13897_13_44123_60000001436","2018-07-09","interregno_temporario",10
"M2016_13897_13_45555_60000013479","2018-08-13","interregno_temporario",11
"M2016_13897_13_54333_60000001913","2018-04-01","interregno_temporario",4
"M2016_13897_13_77777_60000004314","2018-08-21","fim_de_mandato",5
"M2016_14974_13_12345_60000015673","2019-09-09","interregno_temporario",21
"M2016_15490_13_20200_60000005149","2019-08-08","interregno_temporario",6
