legislatura,sg_uf,n_mand,n_bocel,esperado
51,AC,1,1,1
51,AL,1,1,1
51,AM,1,1,1
51,AP,1,1,1
51,BA,1,1,1
51,CE,1,1,1
51,DF,1,1,1
51,ES,1,1,1
51,GO,1,1,1
51,MA,1,1,1
51,MG,1,1,1
51,MS,1,1,1
51,MT,1,1,1
51,PA,1,1,1
51,PB,1,1,1
51,PE,1,1,1
51,PI,1,1,1
51,PR,1,1,1
51,RJ,1,1,1
51,RN,1,1,1
51,RO,1,1,1
51,RR,1,1,1
51,RS,1,1,1
51,SC,1,1,1
51,SE,1,1,1
51,SP,1,1,1
51,TO,1,1,1
52,AC,2,2,2
52,AL,2,2,2
52,AM,2,2,2
52,AP,3,2,2
52,BA,2,2,2
52,CE,2,2,2
52,DF,2,2,2
52,ES,2,2,2
52,GO,2,2,2
52,MA,2,2,2
52,MG,2,2,2
52,MS,2,2,2
52,MT,2,2,2
52,PA,2,2,2
52,PB,2,2,2
52,PE,2,2,2
52,PI,2,2,2
52,PR,2,2,2
52,RJ,2,2,2
52,RN,2,2,2
52,RO,2,2,2
52,RR,2,2,2
52,RS,2,2,2
52,SC,2,2,2
52,SE,2,2,2
52,SP,2,2,2
52,TO,2,2,2
53,AC,1,1,1
53,AL,1,1,1
53,AM,1,1,1
53,AP,1,1,1
53,BA,1,1,1
53,CE,1,1,1
53,DF,1,1,1
53,ES,1,1,1
53,GO,1,1,1
53,MA,1,1,1
53,MG,1,1,1
53,MS,1,1,1
53,MT,1,1,1
53,PA,1,1,1
53,PB,1,1,1
53,PE,1,1,1
53,PI,1,1,1
53,PR,1,1,1
53,RJ,1,1,1
53,RN,1,1,1
53,RO,2,1,1
53,RR,1,1,1
53,RS,1,1,1
53,SC,1,1,1
53,SE,1,1,1
53,SP,1,1,1
53,TO,1,1,1
54,AC,2,2,2
54,AL,2,2,2
54,AM,2,2,2
54,AP,3,2,2
54,BA,2,2,2
54,CE,2,2,2
54,DF,2,2,2
54,ES,2,2,2
54,GO,2,2,2
54,MA,2,2,2
54,MG,2,2,2
54,MS,2,2,2
54,MT,2,2,2
54,PA,3,2,2
54,PB,3,2,2
54,PE,2,2,2
54,PI,2,2,2
54,PR,2,2,2
54,RJ,2,2,2
54,RN,2,2,2
54,RO,2,2,2
54,RR,2,2,2
54,RS,2,2,2
54,SC,2,2,2
54,SE,2,2,2
54,SP,2,2,2
54,TO,2,2,2
55,AC,1,1,1
55,AL,1,1,1
55,AM,1,1,1
55,AP,1,1,1
55,BA,1,1,1
55,CE,1,1,1
55,DF,1,1,1
55,ES,1,1,1
55,GO,1,1,1
55,MA,1,1,1
55,MG,1,1,1
55,MS,1,1,1
55,MT,1,1,1
55,PA,1,1,1
55,PB,1,1,1
55,PE,1,1,1
55,PI,1,1,1
55,PR,1,1,1
55,RJ,1,1,1
55,RN,1,1,1
55,RO,1,1,1
55,RR,1,1,1
55,RS,1,1,1
55,SC,1,1,1
55,SE,1,1,1
55,SP,1,1,1
55,TO,1,1,1
56,AC,2,2,2
56,AL,2,2,2
56,AM,2,2,2
56,AP,2,2,2
56,BA,2,2,2
56,CE,2,2,2
56,DF,2,2,2
56,ES,2,2,2
56,GO,2,2,2
56,MA,2,2,2
56,MG,2,2,2
56,MS,2,2,2
56,MT,4,2,2
56,PA,2,2,2
56,PB,2,2,2
56,PE,2,2,2
56,PI,2,2,2
56,PR,2,2,2
56,RJ,2,2,2
56,RN,2,2,2
56,RO,2,2,2
56,RR,2,2,2
56,RS,2,2,2
56,SC,2,2,2
56,SE,2,2,2
56,SP,2,2,2
56,TO,2,2,2
57,AC,1,1,1
57,AL,1,1,1
57,AM,1,1,1
57,AP,1,1,1
57,BA,1,1,1
57,CE,1,1,1
57,DF,1,1,1
57,ES,1,1,1
57,GO,1,1,1
57,MA,1,1,1
57,MG,1,1,1
57,MS,1,1,1
57,MT,1,1,1
57,PA,1,1,1
57,PB,1,1,1
57,PE,1,1,1
57,PI,1,1,1
57,PR,1,1,1
57,RJ,1,1,1
57,RN,1,1,1
57,RO,1,1,1
57,RR,1,1,1
57,RS,1,1,1
57,SC,1,1,1
57,SE,1,1,1
57,SP,1,1,1
57,TO,1,1,1
