chave,recontado,registrado,bate
senado_n_senadores_api_com_mandato_51_57,401,401,TRUE
senado_n_titulares_api_51_57,226,226,TRUE
senado_n_mandatos_titular_api_51_57,277,277,TRUE
senado_n_suplentes_que_exerceram_51_57,176,176,TRUE
senado_n_eleitos_bocel_cd5,270,270,TRUE
senado_n_pareados_bocel_pessoas,273,273,TRUE
senado_n_pareados_bocel_mandatos,270,270,TRUE
senado_n_eleitos_bocel_nao_pareados,0,0,TRUE
senado_n_titulares_api_sem_bocel,7,7,TRUE
senado_n_linhas_exercicio,707,707,TRUE
senado_n_pareados_metodo_nome_nascimento,264,264,TRUE
senado_n_pareados_metodo_nascimento_uf_ano,6,6,TRUE
senado_n_pareados_metodo_nome_uf_ano,3,3,TRUE
senado_n_forma_saida_NA_em_exercicio,81,81,TRUE
senado_n_forma_saida_fim_regular,148,148,TRUE
senado_n_forma_saida_renuncia,43,43,TRUE
senado_n_forma_saida_falecimento,11,11,TRUE
senado_n_forma_saida_cassacao,6,6,TRUE
senado_n_forma_saida_afastamento,78,78,TRUE
senado_n_forma_saida_licenca,127,127,TRUE
senado_n_forma_saida_nao_tomou_posse,0,,TRUE
senado_n_forma_saida_suplente_efetivado,40,40,TRUE
senado_n_forma_saida_outro,173,173,TRUE
senado_taxa_pareamento_leg51_1998,27/27=1.0000,27/27=1.0000,TRUE
senado_taxa_pareamento_leg52_2002,54/54=1.0000,54/54=1.0000,TRUE
senado_taxa_pareamento_leg53_2006,27/27=1.0000,27/27=1.0000,TRUE
senado_taxa_pareamento_leg54_2010,54/54=1.0000,54/54=1.0000,TRUE
senado_taxa_pareamento_leg55_2014,27/27=1.0000,27/27=1.0000,TRUE
senado_taxa_pareamento_leg56_2018,54/54=1.0000,54/54=1.0000,TRUE
senado_taxa_pareamento_leg57_2022,27/27=1.0000,27/27=1.0000,TRUE
senado_n_senadores_api_listas_51_57,843,843,TRUE
senado_n_sem_data_nascimento_api,63,63,TRUE
