ano_candidatura,esfera,n_mesmo_cargo,n_st_lido,n_S,n_N,fonte,prop_S
2002,"estadual",825,825,793,32,"consulta_cand",0.961
2002,"federal",375,375,362,13,"consulta_cand",0.965
2004,"municipal",48366,48366,2377,45989,"consulta_cand",0.049
2006,"estadual",820,820,809,11,"consulta_cand",0.987
2006,"federal",414,414,405,9,"consulta_cand",0.978
2008,"municipal",43854,43854,3253,40601,"consulta_cand",0.074
2010,"estadual",818,818,6,812,"consulta_cand",0.007
2010,"federal",409,409,1,408,"consulta_cand",0.002
2012,"municipal",41305,41305,10362,30943,"consulta_cand",0.251
2014,"estadual",794,794,601,193,"divulgacand_api",0.757
2014,"federal",371,371,229,142,"divulgacand_api",0.617
2016,"municipal",46178,46178,44647,1531,"consulta_cand",0.967
2018,"estadual",793,793,781,12,"divulgacand_api",0.985
2018,"federal",416,416,404,12,"divulgacand_api",0.971
2020,"municipal",47216,47208,21112,26096,"divulgacand_api",0.447
2022,"estadual",810,810,761,49,"divulgacand_api",0.94
2022,"federal",438,438,421,17,"divulgacand_api",0.961
2024,"municipal",50480,50470,41382,9088,"divulgacand_api",0.82
