id_pleito,nm_ue,sg_uf,cargo,dt_eleicao_suplementar,dt_turno_decisivo,vencedor_nome,sg_partido_vencedor,votos_vencedor,situacao_totalizacao,fonte_situacao,id_mandato_ordinario_afetado,momento
S2004_04600_11_20071202,NOVA IPIXUNA,PA,PREFEITO,2007-12-02,2007-12-02,EDISON RAIMUNDO ALVARENGA,PTB,3742,ELEITO,cadastro,M2004_04600_11_13_1,durante_o_mandato
S2004_62235_11_20050227,BENTO DE ABREU,SP,PREFEITO,2005-02-27,2005-02-27,MARLON ANTONIO RESINA,PSDB,959,ELEITO,cadastro,M2004_62235_11_13_1,durante_o_mandato
S2008_07110_11_20090301,AMARANTE DO MARANHÃO,MA,PREFEITO,2009-03-01,2009-03-01,ADRIANA LURIKO KAMADA RIBEIRO,PV,10050,ELEITO,cadastro,M2008_07110_11_12_1665,durante_o_mandato
S2008_42854_11_20090726,CARMO DO PARANAÍBA,MG,PREFEITO,2009-07-26,2009-07-26,HELDER COSTA BOAVENTURA,DEM,8713,ELEITO,cadastro,M2008_42854_11_25_14433,durante_o_mandato
S2008_51411_11_20090726,SALTO DA DIVISA,MG,PREFEITO,2009-07-26,2009-07-26,RONALDO ATHAYDE DA CUNHA PEIXOTO,DEM,2077,ELEITO,cadastro,M2008_51411_11_25_32238,durante_o_mandato
S2008_86037_11_20100613,CHAPADA,RS,PREFEITO,2010-06-13,2010-06-13,LARRI LUI,PP,4739,ELEITO,cadastro,M2008_86037_11_11_5958,durante_o_mandato
S2012_70475_11_20131201,SANTANA DE PARNAÍBA,SP,PREFEITO,2013-12-01,2013-12-01,ELVIS LEONARDO CEZAR,PSDB,36096,ELEITO,cadastro,M2012_70475_11_25_250000042724,durante_o_mandato
S2012_73164_11_20130901,TAIPAS DO TOCANTINS,TO,PREFEITO,2013-09-01,2013-09-01,JOAQUIM CARLOS AZEVEDO,PSD,731,ELEITO,cadastro,M2012_73164_11_45_270000003495,durante_o_mandato
S2012_80438_11_20140601,BENEDITO NOVO,SC,PREFEITO,2014-06-01,2014-06-01,JEAN MICHEL GRUNDMANN,PP,3747,ELEITO,cadastro,M2012_80438_11_55_240000018023,durante_o_mandato
S2016_15750_11_20180603,UMARI,CE,PREFEITO,2018-06-03,2018-06-03,MIRINEIDE PINHEIRO MOURA,PSD,2739,ELEITO,cadastro,M2016_15750_11_13_60000013846,durante_o_mandato
