chave,recontado,registrado,bate
sup_anos_arquivo_com_suplementar,2004;2008;2012;2014;2016;2018;2020;2022;2024,2004;2008;2012;2014;2016;2018;2020;2022;2024,TRUE
sup_cargos_presentes,3;4;5;9;10;11;12;13,3;4;5;9;10;11;12;13,TRUE
sup_n_candidaturas_suplementares,4124,4124,TRUE
sup_n_candidaturas_votos_ligados_por_turno_divergente,20,20,TRUE
sup_n_eleitos_vereador,99,99,TRUE
sup_n_eleitos_vereador_com_mandato_ordinario_mesma_camara,41,41,TRUE
sup_n_eleitos_vereador_ja_no_bocel,75,75,TRUE
sup_n_mandatos_afetados,616,616,TRUE
sup_n_mandatos_afetados_forma_saida_antes_posse,10,10,TRUE
sup_n_mandatos_afetados_forma_saida_perda,606,606,TRUE
sup_n_mandatos_afetados_mais_de_um_pleito,18,18,TRUE
sup_n_mandatos_afetados_sucessor_de_pleito_posterior,14,14,TRUE
sup_n_pleitos_2004_prefeito,66,66,TRUE
sup_n_pleitos_2008_prefeito,120,120,TRUE
sup_n_pleitos_2012_prefeito,111,111,TRUE
sup_n_pleitos_2014_governador,2,2,TRUE
sup_n_pleitos_2016_prefeito,178,178,TRUE
sup_n_pleitos_2018_senador,2,2,TRUE
sup_n_pleitos_2020_prefeito,121,121,TRUE
sup_n_pleitos_2020_vereador,9,9,TRUE
sup_n_pleitos_2022_governador,1,1,TRUE
sup_n_pleitos_2024_prefeito,40,40,TRUE
sup_n_pleitos_2024_vereador,2,2,TRUE
sup_n_pleitos_2_turnos,2,2,TRUE
sup_n_pleitos_antes_da_posse,10,10,TRUE
sup_n_pleitos_chave_colide_ordinaria,6,6,TRUE
sup_n_pleitos_com_vencedor,589,589,TRUE
sup_n_pleitos_majoritarios,641,641,TRUE
sup_n_pleitos_por_cargo,GOVERNADOR=3;PREFEITO=636;SENADOR=2,GOVERNADOR=3;PREFEITO=636;SENADOR=2,TRUE
sup_n_pleitos_posteriores_a_data,1,1,TRUE
sup_n_pleitos_realizados,640,640,TRUE
sup_n_pleitos_sem_mandato_ordinario_no_bocel,3,3,TRUE
sup_n_pleitos_sem_vencedor_marcado,51,51,TRUE
sup_n_pleitos_senador_mandato_ambiguo,2,2,TRUE
sup_n_pleitos_vereador,11,11,TRUE
sup_n_sucessores_via_suplementar_no_bocel,482,482,TRUE
sup_n_vencedor_e_ocupante_ordinario,57,57,TRUE
sup_n_vencedores_chave_colide_ordinaria,2,2,TRUE
sup_n_vencedores_com_votos,589,589,TRUE
sup_n_vencedores_imputados_por_votos,1,1,TRUE
sup_n_vencedores_ja_no_bocel,488,488,TRUE
sup_n_vencedores_sem_id_pessoa,101,101,TRUE
sup_n_vencedores_sem_votos,0,0,TRUE
sup_n_vices_identificados,588,588,TRUE
sup_n_vices_ja_no_bocel,435,435,TRUE
