ano_eleicao,esfera,n_mandatos,com_votos,com_titulo,taxa_votos
1998,estadual,1086,1086,1086,1
1998,federal,541,541,541,1
2000,municipal,65793,65793,65793,1
2002,estadual,1086,1086,1086,1
2002,federal,568,568,568,1
2004,municipal,57379,57350,57379,0.9995
2006,estadual,1086,1086,1086,1
2006,federal,541,541,541,1
2008,municipal,57339,57320,57339,0.9997
2010,estadual,1086,1086,1086,1
2010,federal,568,568,568,1
2012,municipal,62986,62986,62986,1
2014,estadual,1086,1086,1086,1
2014,federal,541,541,541,1
2016,municipal,63407,63407,63407,1
2018,estadual,1086,1086,1086,1
2018,federal,568,567,568,0.9982
2020,municipal,63671,63669,63671,1
2022,estadual,1086,1086,1086,1
2022,federal,541,541,541,1
2024,municipal,63712,63712,63712,1
