tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,nome_urna_bocel,exercicio,ano_eleicao,data_inicio,data_fim,forma_saida,metodo_pareamento,id_mandato_bocel,id_pessoa_bocel,m_cd,m_ue,m_ano,m_ini,m_fim,url
"A","BA","tcmba_quadro_geral_prestacao_contas","36315","ITAPICURU","Prefeitura de ITAPICURU","PREFEITO","JOSE MOREIRA DE CARVALHO NETO","JOSÉ MOREIRA DE CARVALHO NETO","MOREIRA","2024","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_36315_11_55_50001104920","BOCEL0028097","11","36315","2020","2021-01-01","2024-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2024&ent=P&muni=00194&des="
"A","ES","ckan_es_julgamento_de_contas_vereadores","56839","Piúma","CAMARA MUNICIPAL DE PIÚMA","VEREADOR","BERNARDETE MARIA CALENZANI","BERNARDETE MARIA CALENZANI","BERNADETE MUITA RAÇA","2023","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_56839_13_51007_80001161995","BOCEL0044572","13","56839","2020","2021-01-01","2024-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","ES","ckan_es_julgamento_de_contas_vereadores","56456","Guaçuí","CAMARA MUNICIPAL DE GUAÇUÍ","VEREADOR","VITOR JOSE DE MORAES SARAIVA","VITOR JOSÉ MORAES SARAIVA","VITOR MORAES","2024","2020",NA,NA,"nao_observado","tokens_nome_fonte_no_nome_civil","M2020_56456_13_12123_80001160755","BOCEL0102058","13","56456","2020","2021-01-01","2024-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","SP","tcesp_responsaveis_prestacao_contas_repasses","63835","DOIS CORREGOS","PREFEITURA MUNICIPAL DE DOIS CORREGOS","PREFEITO","LUIZ ANTONIO NAIS","LUIZ ANTONIO NAIS","BUCHINHA","2009","2008",NA,NA,"nao_observado","nome_completo_eleicao","M2008_63835_11_45_39686","BOCEL0088056","11","63835","2008","2009-01-01","2012-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","BA","tcmba_quadro_geral_prestacao_contas","33472","AURELINO LEAL","Prefeitura de AURELINO LEAL","PREFEITO","RODRIGO CALAZANS DE ANDRADE","RODRIGO CALAZANS DE ANDRADE","RODRIGO ANDRADE","2022","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_33472_11_11_50000661844","BOCEL0227590","11","33472","2020","2021-01-01","2024-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2022&ent=P&muni=00030&des="
"A","ES","ckan_es_julgamento_de_contas_vereadores","56456","Guaçuí","CAMARA MUNICIPAL DE GUAÇUÍ","VEREADOR","WANDERLEY DE MORAES FARIA","WANDERLEY DE MORAES FARIA","WANDERLEY MORAES","2024","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_56456_13_33033_80001050053","BOCEL0064165","13","56456","2020","2021-01-01","2024-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","BA","tcmba_quadro_geral_prestacao_contas","36412","ITIUBA","Câmara de ITIUBA","VEREADOR","ANTONIO CARLOS PEREIRA LIMA","ANTONIO CARLOS PEREIRA LIMA","TOINHO DE PICOS","2015","2012",NA,NA,"nao_observado","nome_completo_eleicao","M2012_36412_13_55555_50000024328","BOCEL0056138","13","36412","2012","2013-01-01","2016-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2015&ent=C&muni=00615&des="
"A","ES","ckan_es_julgamento_de_contas_vereadores","57070","Marilândia","CAMARA MUNICIPAL DE MARILÂNDIA","VEREADOR","PAULO COSTA","PAULO COSTA","PAULINHO COSTA","2020","2016",NA,NA,"nao_observado","nome_completo_eleicao","M2016_57070_13_77123_80000002650","BOCEL0078899","13","57070","2016","2017-01-01","2020-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","BA","tcmba_quadro_geral_prestacao_contas","33677","BELMONTE","Câmara de BELMONTE","VEREADOR","LUCIANO ANDRADE RIBEIRO DA COSTA","LUCIANO ANDRADE RIBEIRO DA COSTA","LULUCA DA AMBULÂNCIA","2024","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_33677_13_11111_50000770385","BOCEL0202696","13","33677","2020","2021-01-01","2024-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2024&ent=C&muni=00456&des="
"A","BA","tcmba_quadro_geral_prestacao_contas","36153","ITAMARI","Câmara de ITAMARI","VEREADOR","JAILTON MATTOS SILVA","JAILTON MATTOS SILVA","JAI","2018","2016",NA,NA,"nao_observado","nome_completo_eleicao","M2016_36153_13_44444_50000012432","BOCEL0140510","13","36153","2016","2017-01-01","2020-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2018&ent=C&muni=00601&des="
