tabela,uf,fonte,unidade_gestora,nome_fonte,nome_bocel,cargo_bocel,exercicio,ano_eleicao_mandato,id_mandato_bocel,forma_saida,url_ao_vivo,http,confirmado,evidencia
A,BA,tcmba_quadro_geral_prestacao_contas,Prefeitura de ITAPICURU,JOSE MOREIRA DE CARVALHO NETO,JOSÉ MOREIRA DE CARVALHO NETO,PREFEITO,2024,2020,M2020_36315_11_55_50001104920,nao_observado,https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2024&ent=P&muni=00194&des=,200,sim,JOSE MOREIRA DE CARVALHO NETO
A,ES,ckan_es_julgamento_de_contas_vereadores,CAMARA MUNICIPAL DE PIÚMA,BERNARDETE MARIA CALENZANI,BERNARDETE MARIA CALENZANI,VEREADOR,2023,2020,M2020_56839_13_51007_80001161995,nao_observado,https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270/resource/f4aecbe8-d10b-4e51-afd8-ba5c3f0855c6/download/julgamentodecontas.csv,200,sim,BERNARDETE MARIA CALENZANI
A,SP,tcesp_responsaveis_prestacao_contas_repasses,PREFEITURA MUNICIPAL DE DOIS CORREGOS,LUIZ ANTONIO NAIS,LUIZ ANTONIO NAIS,PREFEITO,2009,2008,M2008_63835_11_45_39686,nao_observado,https://www.tce.sp.gov.br/sites/default/files/portal/contas%20irregulares%20de%2001-01-1900%20a%2003-08-2026_Prest_Contas_CPF_anonimizado.xlsx,200,sim,LUIZ ANTONIO NAIS
A,SP,tcesp_responsaveis_contas_irregulares,CAMARA MUNICIPAL DE AMERICO BRASILIENSE,APARECIDO CRISTIANO DOS SANTOS,APARECIDO CRISTIANO DOS SANTOS,VEREADOR,2011,2008,M2008_61336_13_25625_67081,nao_observado,https://www.tce.sp.gov.br/sites/default/files/portal/contas%20irregulares%20de%2001-01-1900%20a%2003-08-2026_Contas_Anuais_CPF_anonimizado.xlsx,200,sim,APARECIDO CRISTIANO DOS SANTOS
A,RJ,dados_abertos_prestacao_contas_municipio,PREFEITURA MUNICIPAL DE QUATIS,ALUÍSIO MAX ALVES D'ELIAS,ALUÍSIO MAX ALVES D ELIAS,PREFEITO,2022,2020,M2020_58025_11_20_190000848119,nao_observado,https://dados.tcerj.tc.br/api/v1/prestacao_contas_municipio,200,sim,ALUÍSIO MAX ALVES D'ELIAS
A,ES,ckan_es_julgamento_de_contas,PREFEITURA MUNICIPAL DE MARATAÍZES,ROBERTINO BATISTA DA SILVA,ROBERTINO BATISTA DA SILVA,PREFEITO,2019,2016,M2016_56120_11_44_80000007184,nao_observado,https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270/resource/f4aecbe8-d10b-4e51-afd8-ba5c3f0855c6/download/julgamentodecontas.csv,200,sim,ROBERTINO BATISTA DA SILVA
B,PE,tcepe_dados_abertos_lista_servidores,Câmara Municipal de Quipapá,RUY DA SILVA CHAPOVAL,RUY DA SILVA CHAPOVAL,VEREADOR,2026,2012,M2012_25291_13_10000_170000002616,fim_regular,https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR,200,sim,RUY DA SILVA CHAPOVAL
B,PB,tcepb_sagres_folha_cargos_eletivos,Câmara Municipal de São Francisco,FRANCISCO ALDI DA SILVA,FRANCISCO ALDI DA SILVA,VEREADOR,NA,2020,M2020_19860_13_19456_150000724195,fim_regular,https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2022.zip,200,sim,FRANCISCO ALDI DA SILVA                                     
B,PI,tcepi_responsaveis_contas_irregulares,ESPERANTINA PREFEITURA,VILMA CARVALHO AMORIM,VILMA CARVALHO AMORIM,PREFEITO,2020,2016,M2016_10731_11_13_180000007635,nao_observado,https://www.tcepi.tc.br/wp-content/uploads/2026/08/RESPONSAVEIS-COM-CONTAS-JULGADAS-IRREGULARES-OU-COM-PARECER-PREVIO-PELA-REPROVACAO-1.pdf,200,sim,22 paginas lidas do PDF vigente
A,ES,ckan_es_julgamento_de_contas_vereadores,CAMARA MUNICIPAL DE GUAÇUÍ,VITOR JOSE DE MORAES SARAIVA,VITOR JOSÉ MORAES SARAIVA,VEREADOR,2024,2020,M2020_56456_13_12123_80001160755,nao_observado,https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270/resource/f4aecbe8-d10b-4e51-afd8-ba5c3f0855c6/download/julgamentodecontas.csv,200,sim,VITOR JOSE DE MORAES SARAIVA
