id_mandato,sg_uf,sg_ue,cargo,ano_eleicao,forma_saida,fonte_forma_saida
"M2016_19011_11_15_150000004710","PB","19011","PREFEITO","2016","fim_regular","tce"
"M2020_19011_11_10_150000735123","PB","19011","PREFEITO","2020","fim_regular","tce"
"M2012_19020_11_45_150000006741","PB","19020","PREFEITO","2012","fim_regular","tce"
"M2016_19020_11_40_150000005388","PB","19020","PREFEITO","2016","fim_regular","tce"
"M2012_19038_11_11_150000000164","PB","19038","PREFEITO","2012","fim_regular","tce"
"M2016_19038_11_14_150000008301","PB","19038","PREFEITO","2016","fim_regular","tce"
"M2020_19038_11_14_150000669304","PB","19038","PREFEITO","2020","fim_regular","tce"
"M2012_19054_11_22_150000006097","PB","19054","PREFEITO","2012","fim_regular","tce"
"M2016_19054_11_55_150000005367","PB","19054","PREFEITO","2016","fim_regular","tce"
"M2020_19054_11_11_150000763765","PB","19054","PREFEITO","2020","fim_regular","tce"
"M2016_19062_11_45_150000002541","PB","19062","PREFEITO","2016","fim_regular","tce"
"M2020_19062_11_45_150000986815","PB","19062","PREFEITO","2020","fim_regular","tce"
"M2016_19089_11_20_150000006994","PB","19089","PREFEITO","2016","fim_regular","tce"
"M2020_19089_11_22_150000837988","PB","19089","PREFEITO","2020","fim_regular","tce"
"M2012_19097_11_31_150000005018","PB","19097","PREFEITO","2012","fim_regular","tce"
"M2016_19097_11_15_150000000919","PB","19097","PREFEITO","2016","outro","tce"
"M2020_19097_11_45_150001028454","PB","19097","PREFEITO","2020","fim_regular","tce"
"M2012_19100_11_25_150000002140","PB","19100","PREFEITO","2012","fim_regular","tce"
"M2016_19100_11_45_150000007028","PB","19100","PREFEITO","2016","fim_regular","tce"
"M2020_19100_11_11_150001198289","PB","19100","PREFEITO","2020","fim_regular","tce"
"M2012_19119_11_15_150000010277","PB","19119","PREFEITO","2012","fim_regular","tce"
"M2016_19119_11_25_150000009188","PB","19119","PREFEITO","2016","fim_regular","tce"
"M2020_19119_11_15_150001085457","PB","19119","PREFEITO","2020","fim_regular","tce"
"M2012_19127_11_45_150000012722","PB","19127","PREFEITO","2012","fim_regular","tce"
"M2016_19127_11_45_150000009066","PB","19127","PREFEITO","2016","fim_regular","tce"
"M2020_19127_11_12_150000819763","PB","19127","PREFEITO","2020","fim_regular","tce"
"M2012_19135_11_20_150000005170","PB","19135","PREFEITO","2012","fim_regular","tce"
"M2016_19135_11_11_150000010943","PB","19135","PREFEITO","2016","fim_regular","tce"
"M2020_19135_11_11_150000738621","PB","19135","PREFEITO","2020","fim_regular","tce"
"M2012_19143_11_15_150000005387","PB","19143","PREFEITO","2012","fim_regular","tce"
"M2016_19143_11_55_150000004687","PB","19143","PREFEITO","2016","fim_regular","tce"
"M2020_19143_11_23_150000726444","PB","19143","PREFEITO","2020","fim_regular","tce"
"M2012_19151_11_25_150000004911","PB","19151","PREFEITO","2012","fim_regular","tce"
"M2020_19151_11_45_150000727037","PB","19151","PREFEITO","2020","fim_regular","tce"
"M2020_19160_11_45_150000721095","PB","19160","PREFEITO","2020","fim_regular","tce"
"M2012_19178_11_17_150000011824","PB","19178","PREFEITO","2012","fim_regular","tce"
"M2016_19178_11_17_150000000972","PB","19178","PREFEITO","2016","fim_regular","tce"
"M2020_19178_11_70_150000765814","PB","19178","PREFEITO","2020","fim_regular","tce"
"M2012_19186_11_15_150000003401","PB","19186","PREFEITO","2012","outro","tce"
"M2016_19186_11_17_150000005157","PB","19186","PREFEITO","2016","fim_regular","tce"
"M2020_19186_11_23_150000940128","PB","19186","PREFEITO","2020","fim_regular","tce"
"M2012_19194_11_15_150000004923","PB","19194","PREFEITO","2012","fim_regular","tce"
"M2016_19194_11_11_150000002638","PB","19194","PREFEITO","2016","fim_regular","tce"
"M2020_19194_11_11_150000944466","PB","19194","PREFEITO","2020","fim_regular","tce"
"M2012_19208_11_14_150000005913","PB","19208","PREFEITO","2012","fim_regular","tce"
"M2012_19216_11_10_150000008170","PB","19216","PREFEITO","2012","fim_regular","tce"
"M2016_19216_11_45_150000010435","PB","19216","PREFEITO","2016","fim_regular","tce"
"M2020_19224_11_55_150000668787","PB","19224","PREFEITO","2020","fim_regular","tce"
"M2012_19232_11_15_150000002058","PB","19232","PREFEITO","2012","fim_regular","tce"
"M2016_19232_11_45_150000009241","PB","19232","PREFEITO","2016","fim_regular","tce"
"M2020_19232_11_23_150000930931","PB","19232","PREFEITO","2020","fim_regular","tce"
"M2012_19240_11_20_150000001534","PB","19240","PREFEITO","2012","outro","tce"
"M2016_19240_11_40_150000005253","PB","19240","PREFEITO","2016","fim_regular","tce"
"M2020_19240_11_25_150000760485","PB","19240","PREFEITO","2020","fim_regular","tce"
"M2016_19267_11_12_150000011757","PB","19267","PREFEITO","2016","fim_regular","tce"
"M2020_19267_11_11_150001193258","PB","19267","PREFEITO","2020","fim_regular","tce"
"M2012_19283_11_55_150000012516","PB","19283","PREFEITO","2012","fim_regular","tce"
"M2016_19283_11_40_150000007735","PB","19283","PREFEITO","2016","fim_regular","tce"
"M2020_19283_11_23_150001111963","PB","19283","PREFEITO","2020","fim_regular","tce"
"M2012_19291_11_15_150000008266","PB","19291","PREFEITO","2012","fim_regular","tce"
