"uf","ano_eleicao","legislatura","nome","nome_completo","data_nascimento","metodo_pareamento","id_mandato_bocel","nome_bocel","urna_bocel","dt_nasc_bocel","forma_saida","causa_original","url"
"MT","2022","20","Wilson Santos","Wilson Pereira dos Santos",NA,"nome_completo_civil","M2022_MT_7_55100_110001643414","WILSON  PEREIRA DOS SANTOS","WILSON SANTOS","1961-08-26","nao_observado","titular","https://www.al.mt.gov.br/parlamento/membros-parlamentares"
"SE","2006","16","Susana Azevedo","Susana Azevedo",NA,"nome_urna","M2006_SE_7_20200_10137","SUSANA MARIA FONTES AZEVEDO","SUSANA AZEVEDO","1961-12-01","fim_regular","ativo (lista da legislatura)","https://aleselegis.al.se.leg.br/spl/parlamentar.aspx?id=45"
"SC","2002","15","Julio Garcia","Julio Garcia",NA,"nome_urna","M2002_SC_7_25111_476","JULIO CÉSAR GARCIA","JULIO GARCIA","1950-03-28","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/125-15a_Legislatura"
"SC","1998","14","Peninha","Rogério Mendonça",NA,"nome_completo_civil","M1998_SC_7_15010_240002407150101","ROGERIO MENDONÇA","PENINHA","1953-01-27","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/124-14a_Legislatura"
"AP","2022","9","Zeneide Costa","ZENEIDE DA SILVA COSTA","1968-01-29","nome_completo_civil","M2022_AP_7_19000_30001619655","ZENEIDE DA SILVA COSTA","ZENEIDE COSTA","1968-01-29","nao_observado","ativo","https://www.al.ap.gov.br/pagina.php?pg=exibir_parlamentar&iddeputado=89"
"AP","2014","7","Jory Oeiras","Joryosvaldo Queiroz Oeiras","1973-05-03","nome_completo_civil","M2014_AP_7_10300_30000000323","JORYOSVALDO QUEIROZ OEIRAS","JORY OEIRAS","1973-05-03","nao_observado","ativo","https://www.al.ap.gov.br/pagina.php?pg=exibir_parlamentar&iddeputado=58"
"MG","2010","17","Carlin Moura","Carlin Moura",NA,"nome_urna","M2010_MG_7_65123_130000002136","CARLOS MAGNO DE MOURA SOARES","CARLIN MOURA","1968-02-29","renuncia","renunciou | perfil: Renúncia","https://www.almg.gov.br/deputados/carlin-moura/15247?legislatura=17"
"MG","2018","19","Guilherme da Cunha","Guilherme da Cunha",NA,"nome_urna","M2018_MG_7_30400_130000600683","GUILHERME DA CUNHA ANDRADE","GUILHERME DA CUNHA","1983-05-13","fim_regular","em exercicio ao fim da legislatura | perfil: Em exercício","https://www.almg.gov.br/deputados/guilherme-da-cunha/26134?legislatura=19"
"SC","2014","18","Mário Marcondes","Mário Marcondes",NA,"nome_urna","M2014_SC_7_22580_240000000102","MÁRIO MARCONDES NASCIMENTO","MÁRIO MARCONDES","1967-09-08","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/128-18a_Legislatura"
"MT","2022","20","Eduardo Botelho","Jose Eduardo Botelho",NA,"nome_completo_civil","M2022_MT_7_44650_110001612930","JOSÉ EDUARDO BOTELHO","BOTELHO","1959-03-08","nao_observado","titular","https://www.al.mt.gov.br/parlamento/membros-parlamentares"
"MG","2002","15","Bonifácio Mourão","Bonifácio Mourão",NA,"tokens_nome_completo_no_civil","M2002_MG_7_15555_975","JOSÉ BONIFÁCIO MOURÃO","MOURÃO","1940-05-14","renuncia","renunciou | perfil: Renúncia","https://www.almg.gov.br/deputados/bonifacio-mourao/3667?legislatura=15"
"SE","2018","19","Vanderbal Marinho","Vanderbal Marinho",NA,"tokens_nome_completo_no_civil","M2018_SE_7_20111_260000615086","VANDERBAL MARINHO MENEZES DE ANDRADE","DR. VANDERBAL","1954-09-24","fim_regular","ativo (lista da legislatura)","https://aleselegis.al.se.leg.br/spl/parlamentar.aspx?id=530"
