tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,nome_urna_bocel,exercicio,ano_eleicao,data_inicio,data_fim,forma_saida,metodo_pareamento,jac_max,id_mandato_bocel,id_pessoa_bocel,m_cd,m_ue,m_ano,m_ini,m_fim,url
"A","BA","tcmba_quadro_geral_prestacao_contas","39330","TERRA NOVA","Câmara de TERRA NOVA","VEREADOR","NILTON VINHAS","NILTON VINHAS PACHECO PEREIRA","NILTON VINHAS","2019","2016",NA,NA,"nao_observado","nome_fonte=nome_urna_eleicao",1,"M2016_39330_13_11000_50000028640","BOCEL0192201","13","39330","2016","2017-01-01","2020-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2019&ent=C&muni=00805&des="
"A","SP","tcesp_responsaveis_contas_irregulares","68314","PAULINIA","CAMARA MUNICIPAL DE PAULINIA","VEREADOR","SIMONE MOURA","SIMONE MOURA MIRONE","SIMONE MOURA","2005","2004",NA,NA,"nao_observado","nome_fonte=nome_urna_eleicao",1,"M2004_68314_13_26000_187","BOCEL0241669","13","68314","2004","2005-01-01","2008-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19577","Brejo do Cruz","Câmara Municipal de Brejo do Cruz","VEREADOR","GEILSON LINHARES","GEILSON LINHARES DA CUNHA MAIA","GEILSON LINHARES",NA,"2012","2013-01-01","2016-12-31","fim_regular","nome_fonte=nome_urna_eleicao",1,"M2012_19577_13_20000_150000000837","BOCEL0036204","13","19577","2012","2013-01-01","2016-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2013.zip"
"A","SC","tcesc_responsaveis_contas_irregulares","80551","Brusque","Prefeito Municipal de Brusque","PREFEITO","Paulo Roberto Eccel","PAULO ROBERTO ECCEL","PAULO ECCEL",NA,"2008",NA,NA,"nao_observado","nome_completo_municipio_cargo",1,"M2008_80551_11_13_3066","BOCEL0007967","11","80551","2008","2009-01-01","2012-12-31","https://servicos.tcesc.tc.br/contas-irregulares-ou-parecer-rejeicao/?exportar=csv"
"A","MS","tcems_contas_julgadas_irregulares","91154","NIOAQUE","PREFEITURA MUNICIPAL DE NIOAQUE","PREFEITO","GERSON GARCIA SERPA","GERSON GARCIA SERPA","GERSON GARCIA",NA,"2012",NA,NA,"nao_observado","nome_completo_municipio_cargo",1,"M2012_91154_11_40_120000006140","BOCEL0011778","11","91154","2012","2013-01-01","2016-12-31","https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json"
"A","SC","tcesc_responsaveis_contas_irregulares","81850","Laguna","Prefeito Municipal de Laguna","PREFEITO","Adílcio Cadorin","ADILCIO CADORIN","CADORIN",NA,"2000",NA,NA,"nao_observado","nome_completo_municipio_cargo",1,"M2000_81850_11_12_87","BOCEL0150551","11","81850","2000","2001-01-01","2004-12-31","https://servicos.tcesc.tc.br/contas-irregulares-ou-parecer-rejeicao/?exportar=csv"
"A","SC","tcesc_responsaveis_contas_irregulares","81418","Imarui","Prefeito Municipal de Imaruí","PREFEITO","Manoel Viana de Sousa","MANOEL VIANA DE SOUSA","MANOEL VIANA",NA,"2012",NA,NA,"nao_observado","nome_completo_municipio_cargo",1,"M2012_81418_11_13_240000004952","BOCEL0172683","11","81418","2012","2013-01-01","2016-12-31","https://servicos.tcesc.tc.br/contas-irregulares-ou-parecer-rejeicao/?exportar=csv"
"B","PE","tcepe_dados_abertos_lista_servidores","24791","MACAPARANA","Câmara Municipal de Macaparana","VEREADOR","RICARDO A. X. C. DA SILVA","RICARDO ALEXANDRE XAVIER COUTINHO DA SILVA","RICARDO DE SIOMARA","2026","2016","2017-01-02","2021-01-03","fim_regular","tokens_nome_fonte_no_nome_civil",0.4,"M2016_24791_13_36789_170000023092","BOCEL0201873","13","24791","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PE","tcepe_dados_abertos_lista_servidores","24791","MACAPARANA","Câmara Municipal de Macaparana","VEREADOR","RICARDO A. X. C. DA SILVA","RICARDO ALEXANDRE XAVIER COUTINHO DA SILVA","RICARDO DE SIOMARA","2026","2020","2021-01-01","2024-12-31","fim_regular","tokens_nome_fonte_no_nome_civil",0.4,"M2020_24791_13_11111_170001156844","BOCEL0201873","13","24791","2020","2021-01-01","2024-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PE","tcepe_dados_abertos_lista_servidores","24112","FLORES","Câmara Municipal de Flores","VEREADOR","JOSE ALBERTO C. RIBEIRO","JOSE ALBERTO CAVALCANTI RIBEIRO","ALBERTO RIBEIRO","2026","2012","2016-01-01","2020-11-30","fim_regular","tokens_nome_fonte_no_nome_civil",0.75,"M2012_24112_13_14614_170000003596","BOCEL0177645","13","24112","2012","2013-01-01","2016-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
