tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,exercicio,ano_eleicao,jac_max,forma_saida,metodo_pareamento,id_mandato_bocel,m_ano,m_ini,m_fim,url
"A","RS","ckan_tcers_contas_irregulares","89478","TUPANCIRETÃ","PM DE TUPANCIRETÃ","PREFEITO","Luiz Adolfo Bittencourt Dias","LUIS ADOLFO BITENCOURT DIAS","2012","2008",0.333,"nao_observado","cpf_municipio_cargo_eleicao","M2008_89478_11_15_18423","2008","2009-01-01","2012-12-31","https://dados.tce.rs.gov.br/dados/decisoes/contas-irregulares.csv"
"B","PE","tcepe_dados_abertos_lista_servidores","24791","MACAPARANA","Câmara Municipal de Macaparana","VEREADOR","RICARDO A. X. C. DA SILVA","RICARDO ALEXANDRE XAVIER COUTINHO DA SILVA","2026","2016",0.4,"fim_regular","tokens_nome_fonte_no_nome_civil","M2016_24791_13_36789_170000023092","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"A","SP","tcesp_responsaveis_prestacao_contas_repasses","66176","JULIO MESQUITA","PREFEITURA MUNICIPAL DE JULIO MESQUITA","PREFEITO","TIRSO FERNANDES","TIRSO FERNANDES SOBREIRO JUNIOR","2011","2008",0.5,"nao_observado","tokens_nome_fonte_no_nome_civil","M2008_66176_11_25_41294","2008","2009-01-01","2012-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","BA","tcmba_quadro_geral_prestacao_contas","35939","IRECE","Câmara de IRECE","VEREADOR","KUELBERTE KUARKUER","KUELBERTE KUARKUER FERREIRA LOPES","2023","2020",0.5,"nao_observado","tokens_nome_fonte_no_nome_civil","M2020_35939_13_22580_50001118701","2020","2021-01-01","2024-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2023&ent=C&muni=00588&des="
"B","PI","tcepi_responsaveis_contas_irregulares","12203","JULIO BORGES","JULIO BORGES PREFEITURA","PREFEITO","MANOEL FERREIRA CAMÊLO","MANOEL FEREIRA CAMELO","2016","2012",0.5,"nao_observado","cpf_municipio_cargo_eleicao","M2012_12203_11_40_180000002795","2012","2013-01-01","2016-12-31","https://www.tcepi.tc.br/wp-content/uploads/2026/08/RESPONSAVEIS-COM-CONTAS-JULGADAS-IRREGULARES-OU-COM-PARECER-PREVIO-PELA-REPROVACAO-1.pdf"
"B","PB","tcepb_sagres_folha_cargos_eletivos","20001","Santa Cecília","Câmara Municipal de Santa Cecília","VEREADOR","Henrique N.f. de Lima","HENRIQUE NETO FARIAS LIMA",NA,"2012",0.5,"fim_regular","tokens_nome_fonte_no_nome_civil","M2012_20001_13_55444_150000000980","2012","2013-01-01","2016-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2015.zip"
"A","MS","tcems_contas_julgadas_irregulares","91472","RIO VERDE DE MATO GROSSO","PREFEITURA MUNICIPAL DE RIO VERDE DE MATO GROSSO","PREFEITO","WILIAN DOUGLAS DE SOUZA BRITO","WILIAM DOUGLAS DE SOUZA BRITO",NA,"2008",0.6,"nao_observado","cpf_municipio_cargo","M2008_91472_11_23_3347","2008","2009-01-01","2012-12-31","https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json"
"A","ES","ckan_es_julgamento_de_contas_vereadores","56898","Santa Leopoldina","CAMARA MUNICIPAL DE SANTA LEOPOLDINA","VEREADOR","LUZINETE DEGASPERI","LUZINETE DEGASPERI LEPPAUS","2018","2016",0.667,"nao_observado","tokens_nome_fonte_no_nome_civil","M2016_56898_13_33456_80000004401","2016","2017-01-01","2020-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","SP","tcesp_responsaveis_contas_irregulares","62162","QUADRA","CAMARA MUNICIPAL DE QUADRA","VEREADOR","JOSE VIEIRA DE CAMARGO","JOSÉ VIEIRA DE CAMARGO FILHO","2004","2000",0.75,"nao_observado","tokens_nome_fonte_no_nome_civil","M2000_62162_13_12999_511","2000","2001-01-01","2004-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","RJ","dados_abertos_prestacao_contas_municipio","58670","NOVA FRIBURGO","PREFEITURA MUNICIPAL DE NOVA FRIBURGO","PREFEITO","JOHNNY MAYCON CORDEIRO","JOHNNY MAYCON CORDEIRO RIBEIRO","2025","2024",0.75,"nao_observado","tokens_nome_fonte_no_nome_civil","M2024_58670_11_22_190002045117","2024","2025-01-01","2028-12-31","https://dados.tcerj.tc.br/api/v1/prestacao_contas_municipio"
"A","ES","ckan_es_julgamento_de_contas","56995","Serra","PREFEITURA MUNICIPAL DE SERRA","PREFEITO","ANTONIO SERGIO ALVES VIDIGAL","ANTÔNIO SERGIO ALVES VIDIGAL","2009","2008",1,"nao_observado","nome_completo_eleicao","M2008_56995_11_12_5364","2008","2009-01-01","2012-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","SC","tcesc_responsaveis_contas_irregulares","80551","Brusque","Prefeito Municipal de Brusque","PREFEITO","Paulo Roberto Eccel","PAULO ROBERTO ECCEL",NA,"2008",1,"nao_observado","nome_completo_municipio_cargo","M2008_80551_11_13_3066","2008","2009-01-01","2012-12-31","https://servicos.tcesc.tc.br/contas-irregulares-ou-parecer-rejeicao/?exportar=csv"
"B","PI","tcepi_portal_cidadania_gestor","10430","Campo Maior","PREFEITURA MUNICIPAL DE CAMPO MAIOR","PREFEITO","JOÃO FELIX DE ANDRADE FILHO","JOÃO FÉLIX DE ANDRADE FILHO",NA,"2024",1,"nao_observado","nome_completo_eleicao","M2024_10430_11_11_180001971060","2024","2025-01-01","2028-12-31","https://sistemas.tce.pi.gov.br/api/portaldacidadania/prefeituras/120/gestor"
