tabela,uf,fonte,unidade_gestora,exercicio,nome_fonte,nome_bocel,cargo_bocel,id_mandato_bocel,forma_saida,metodo_pareamento,jac_max,url_ao_vivo,http,n_candidatos,confirmado,nome_bocel_na_fonte,evidencia
A,RS,ckan_tcers_contas_irregulares,PM DE TUPANCIRETÃ,2012,Luiz Adolfo Bittencourt Dias,LUIS ADOLFO BITENCOURT DIAS,PREFEITO,M2008_89478_11_15_18423,nao_observado,cpf_municipio_cargo_eleicao,0.333,https://dados.tce.rs.gov.br/dados/decisoes/contas-irregulares.csv,200,1,sim,nao,Luiz Adolfo Bittencourt Dias
B,PE,tcepe_dados_abertos_lista_servidores,Câmara Municipal de Macaparana,2026,RICARDO A. X. C. DA SILVA,RICARDO ALEXANDRE XAVIER COUTINHO DA SILVA,VEREADOR,M2016_24791_13_36789_170000023092,fim_regular,tokens_nome_fonte_no_nome_civil,0.4,https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR,200,45,sim,sim,RICARDO A. X. C. DA SILVA
A,SP,tcesp_responsaveis_prestacao_contas_repasses,PREFEITURA MUNICIPAL DE JULIO MESQUITA,2011,TIRSO FERNANDES,TIRSO FERNANDES SOBREIRO JUNIOR,PREFEITO,M2008_66176_11_25_41294,nao_observado,tokens_nome_fonte_no_nome_civil,0.5,https://www.tce.sp.gov.br/sites/default/files/portal/contas%20irregulares%20de%2001-01-1900%20a%2003-08-2026_Prest_Contas_CPF_anonimizado.xlsx,200,2,sim,sim,TIRSO FERNANDES
A,BA,tcmba_quadro_geral_prestacao_contas,Câmara de IRECE,2023,KUELBERTE KUARKUER,KUELBERTE KUARKUER FERREIRA LOPES,VEREADOR,M2020_35939_13_22580_50001118701,nao_observado,tokens_nome_fonte_no_nome_civil,0.5,https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2023&ent=C&muni=00588&des=,200,1,sim,sim,KUELBERTE KUARKUER
B,PI,tcepi_responsaveis_contas_irregulares,JULIO BORGES PREFEITURA,2016,MANOEL FERREIRA CAMÊLO,MANOEL FEREIRA CAMELO,PREFEITO,M2012_12203_11_40_180000002795,nao_observado,cpf_municipio_cargo_eleicao,0.5,https://www.tcepi.tc.br/wp-content/uploads/2026/08/RESPONSAVEIS-COM-CONTAS-JULGADAS-IRREGULARES-OU-COM-PARECER-PREVIO-PELA-REPROVACAO-1.pdf,200,1,sim,nao,"ATUALIZADA EM 17/08/2026
DECISÃO DATA DO JULGAMENTO PROCESSO ENTE FEDERATIVO UNIDADE GESTORA/ 
JURIS"
B,PB,tcepb_sagres_folha_cargos_eletivos,Câmara Municipal de Santa Cecília,NA,Henrique N.f. de Lima,HENRIQUE NETO FARIAS LIMA,VEREADOR,M2012_20001_13_55444_150000000980,fim_regular,tokens_nome_fonte_no_nome_civil,0.5,https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2014.zip,200,108,sim,sim,HENRIQUE N.F. DE LIMA
A,MS,tcems_contas_julgadas_irregulares,PREFEITURA MUNICIPAL DE RIO VERDE DE MATO GROSSO,NA,WILIAN DOUGLAS DE SOUZA BRITO,WILIAM DOUGLAS DE SOUZA BRITO,PREFEITO,M2008_91472_11_23_3347,nao_observado,cpf_municipio_cargo,0.6,https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json?pagina=2&quantidade=500,200,5,sim,nao,WILIAN DOUGLAS DE SOUZA BRITO
A,ES,ckan_es_julgamento_de_contas_vereadores,CAMARA MUNICIPAL DE SANTA LEOPOLDINA,2018,LUZINETE DEGASPERI,LUZINETE DEGASPERI LEPPAUS,VEREADOR,M2016_56898_13_33456_80000004401,nao_observado,tokens_nome_fonte_no_nome_civil,0.667,https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270/resource/f4aecbe8-d10b-4e51-afd8-ba5c3f0855c6/download/julgamentodecontas.csv,200,18,sim,sim,LUZINETE DEGASPERI
A,SP,tcesp_responsaveis_contas_irregulares,CAMARA MUNICIPAL DE QUADRA,2004,JOSE VIEIRA DE CAMARGO,JOSÉ VIEIRA DE CAMARGO FILHO,VEREADOR,M2000_62162_13_12999_511,nao_observado,tokens_nome_fonte_no_nome_civil,0.75,https://www.tce.sp.gov.br/sites/default/files/portal/contas%20irregulares%20de%2001-01-1900%20a%2003-08-2026_Contas_Anuais_CPF_anonimizado.xlsx,200,1,sim,sim,JOSE VIEIRA DE CAMARGO
A,RJ,dados_abertos_prestacao_contas_municipio,PREFEITURA MUNICIPAL DE NOVA FRIBURGO,2025,JOHNNY MAYCON CORDEIRO,JOHNNY MAYCON CORDEIRO RIBEIRO,PREFEITO,M2024_58670_11_22_190002045117,nao_observado,tokens_nome_fonte_no_nome_civil,0.75,https://dados.tcerj.tc.br/api/v1/prestacao_contas_municipio,200,1,sim,sim,JOHNNY MAYCON CORDEIRO
