tipo_pareamento,qid,url,nome_wikidata,nome_completo,dt_nascimento,cargo,uf,inicio,fim,id_pessoa_bocel,nome_bocel,nasc_bocel,id_mandato_bocel,nasc_igual,tokens_contidos
tokens_rotulo+nascimento,Q116452715,https://www.wikidata.org/wiki/Q116452715,Elton Welter,,1968-11-23,DEPUTADO ESTADUAL,PR,2003-02-01,2011-01-31,BOCEL0159821,ELTON CARLOS WELTER,1968-11-23,M2006_PR_7_13166_10261,TRUE,TRUE
tokens_rotulo+nascimento,Q10281001,https://www.wikidata.org/wiki/Q10281001,Felipe Peixoto,,1977-04-11,DEPUTADO ESTADUAL,RJ,,,BOCEL0221570,FELIPE DOS SANTOS PEIXOTO,1977-04-11,,TRUE,TRUE
tokens_rotulo+nascimento,Q13164197,https://www.wikidata.org/wiki/Q13164197,Lúcio Alcântara,,1943-05-16,VICE-GOVERNADOR,CE,,,BOCEL0001711,LÚCIO GONÇALO DE ALCÂNTARA,1943-05-16,,TRUE,TRUE
tokens_rotulo+nascimento,Q64846714,https://www.wikidata.org/wiki/Q64846714,Roberto,,1980-06-17,DEPUTADO ESTADUAL,BA,2023-01-01,2024-12-01,BOCEL0220856,PABLO ROBERTO GONÇALVES DA SILVA,1980-06-17,M2022_BA_7_45100_50001613913,TRUE,TRUE
tokens_rotulo+nascimento,Q59205095,https://www.wikidata.org/wiki/Q59205095,Adolfo Viana,,1981-02-02,DEPUTADO ESTADUAL,BA,2015-02-01,2019-01-31,BOCEL0224329,ADOLFO VIANA DE CASTRO NETO,1981-02-02,M2014_BA_7_45450_50000000725,TRUE,TRUE
tokens_rotulo+nascimento,Q59205572,https://www.wikidata.org/wiki/Q59205572,Zé Raimundo Fontes,,1950-04-15,DEPUTADO ESTADUAL,BA,2015-02-01,2019-01-31,BOCEL0008393,JOSÉ RAIMUNDO FONTES,1950-04-15,M2014_BA_7_13222_50000000332,TRUE,TRUE
tokens_rotulo+nascimento,Q10270529,https://www.wikidata.org/wiki/Q10270529,Edson Duarte,,1965-11-02,DEPUTADO ESTADUAL,BA,1999-02-01,2003-01-31,BOCEL0097614,EDSON GONÇALVES DUARTE,1965-11-02,M1998_BA_7_43143_500000507431431,TRUE,TRUE
tokens_rotulo+nascimento,Q27267587,https://www.wikidata.org/wiki/Q27267587,Raquel Lyra,,1978-12-02,DEPUTADO ESTADUAL,PE,,,BOCEL0173444,RAQUEL TEIXEIRA LYRA LUCENA,1978-12-02,,TRUE,TRUE
tokens_rotulo+nascimento,Q10354022,https://www.wikidata.org/wiki/Q10354022,Priscila Krause,,1978-04-15,VICE-GOVERNADOR,PE,2023-01-01,2026-12-31,BOCEL0169243,PRISCILA KRAUSE BRANCO,1978-04-15,M2022_PE_4_45_170001728608,TRUE,TRUE
tokens_rotulo+nascimento,Q118251251,https://www.wikidata.org/wiki/Q118251251,Reinaldo Braga,,1940-05-16,DEPUTADO ESTADUAL,BA,1991-02-01,1995-01-31,BOCEL0113996,REINALDO TEIXEIRA BRAGA,1940-05-16,,TRUE,TRUE
