statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q99857393-34bec7b7-4c5d-0324-27b4-f8b2e55fffd3,Q99857393,Agrício Braga,1958-01-01,AGRICIO BRAGA FILHO,1958-02-11,wikidata_so_ano,DEPUTADO DISTRITAL,DF,1999-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q99857393
Q10377777-d78cfaac-49b8-ae88-7e37-4e95bf4e55ef,Q10377777,Tadeu Filippelli,1949-05-25,NELSON TADEU FILIPPELLI,1949-05-11,mesmo_ano_outro_dia,VICE-GOVERNADOR,DF,2011-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q10377777
Q7521412-871187F3-3572-4A33-A3AA-C98986932C71#1,Q7521412,Simão Jatene,1949-04-01,SIMÃO ROBISON OLIVEIRA JATENE,1949-04-02,mesmo_ano_outro_dia,GOVERNADOR,PA,2011-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q7521412
Q7521412-871187F3-3572-4A33-A3AA-C98986932C71#2,Q7521412,Simão Jatene,1949-04-01,SIMÃO ROBISON OLIVEIRA JATENE,1949-04-02,mesmo_ano_outro_dia,GOVERNADOR,PA,2015-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q7521412
Q42824-5603a0bd-4e6b-6b4d-f3c9-bb37afa27d04,Q7724122,Mauro Mendes,1964-04-12,MAURO MENDES FERREIRA,1964-04-11,mesmo_ano_outro_dia,GOVERNADOR,MT,2019-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q7724122
Q7724122-bf167818-42fe-f8fd-6735-9d6b3363effd,Q7724122,Mauro Mendes,1964-04-12,MAURO MENDES FERREIRA,1964-04-11,mesmo_ano_outro_dia,GOVERNADOR,MT,2019-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q7724122
Q27267630-FE579B70-0B55-4BB8-9F2A-83BDB0421D8C,Q27267630,Délia Razuk,1955-12-06,DÉLIA GODOY RAZUK,1955-12-02,mesmo_ano_outro_dia,PREFEITO,MS,2017-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q27267630
Q4887390-2e589759-4e2d-790d-eb56-361f7b44ab50,Q4887390,Benedita da Silva,1943-04-26,BENEDITA SOUZA DA SILVA SAMPAIO,1942-04-26,ano_diferente,VICE-GOVERNADOR,RJ,1999-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q4887390
Q10329487-5b024327-4e87-72d6-c1fd-b18b59400699,Q10329487,Michel Hagge,1927-05-12,MICHEL JOSÉ HAGGE FILHO,1927-12-05,dia_mes_trocados,DEPUTADO ESTADUAL,BA,1999-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q10329487
Q10329487-c3316d7b-4bef-97b7-65ae-9fd8dfaad650,Q10329487,Michel Hagge,1927-05-12,MICHEL JOSÉ HAGGE FILHO,1927-12-05,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q10329487
