nome_wiki,inicio_txt,fim_txt,eleito_txt,partido_wiki,observacao_original,inicio,fim,uf,cargo,legislatura,condicao,url_pagina,revisao
"Ruy Trindade","2 de abril de 1994","2 de maio de 1994",NA,"Nenhum","Presidente do Tribunal de Justiça da Bahia no cargo de governador interino em função da dupla vacância no executivo.","1994-04-02","1994-05-02","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Antônio Imbassahy","2 de maio de 1994","31 de dezembro de 1994",NA,"","Governador eleito indiretamente pela Assembleia Legislativa da Bahia após renúncia da chapa eleita em 1990.","1994-05-02","1994-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Paulo Souto","1.º de janeiro de 1995","4 de abril de 1998",NA,"","Governador eleito em sufrágio universal, renunciou ao mandato para concorrer ao cargo de Senador nas Eleições estaduais na Bahia em 1998.","1995-01-01","1998-04-04","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"César Borges","4 de abril de 1998","31 de dezembro de 1998",NA,"","Vice-governador eleito no cargo de governador, assumiu o mandato após a renúncia do titular Paulo Souto.","1998-04-04","1998-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"César Borges","1.º de janeiro de 1999","5 de abril de 2002",NA,"","Governador eleito em sufrágio universal, renunciou ao mandato para concorrer ao cargo de Senador nas Eleições estaduais da Bahia em 2002.","1999-01-01","2002-04-05","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Otto Alencar","5 de abril de 2002","31 de dezembro de 2002",NA,"","Vice-governador eleito no cargo de governador, assumiu o mandato após a renúncia do titular César Borges.","2002-04-05","2002-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Paulo Souto","1.º de janeiro de 2003","31 de dezembro de 2006",NA,"","Governador e vice eleitos em sufrágio universal.","2003-01-01","2006-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Jaques Wagner","1.º de janeiro de 2007","31 de dezembro de 2010",NA,"","Governador e vice eleitos em sufrágio universal.","2007-01-01","2010-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Jaques Wagner","1.º de janeiro de 2011","31 de dezembro de 2014",NA,"","Governador reeleito e vice eleito em sufrágio universal.","2011-01-01","2014-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Rui Costa","1.º de janeiro de 2015","31 de dezembro de 2018",NA,"","Governador e vice eleitos em sufrágio universal.","2015-01-01","2018-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Rui Costa","1.º de janeiro de 2019","31 de dezembro de 2022",NA,"","Governador e vice reeleitos em sufrágio universal.","2019-01-01","2022-12-31","BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Jerônimo Rodrigues","1.º de janeiro de 2023","Em exercício",NA,"","Governador e vice eleitos em sufrágio universal.","2023-01-01",NA,"BA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Bahia","72820186"
"Cícero Lucena","2 de abril de 1994","1º de janeiro de 1995",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-Governador, assumiu a vaga após a renúncia do titular","1994-04-02","1995-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Antônio Mariz","1º de janeiro de 1995","16 de setembro de 1995",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador eleito falecido durante o mandato","1995-01-01","1995-09-16","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"José Maranhão","16 de setembro de 1995","1º de janeiro de 1999",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-Governador, assumiu a vaga após a morte do titular","1995-09-16","1999-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"José Maranhão","1º de janeiro de 1999","6 de abril de 2002",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador reeleito que renunciou o cargo","1999-01-01","2002-04-06","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Roberto Paulino","6 de abril de 2002","1° de janeiro de 2003",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-Governador, assumiu a vaga após a renúncia do titular","2002-04-06","2003-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Cássio Cunha Lima","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido da Social Democracia Brasileira PSDB","Governador eleito","2003-01-01","2007-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Cássio Cunha Lima","1º de janeiro de 2007","17 de fevereiro de 2009",NA,"Partido da Social Democracia Brasileira PSDB","Governador reeleito cassado por decisão judicial","2007-01-01","2009-02-17","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"José Maranhão","18 de fevereiro de 2009","1° de janeiro de 2011",NA,"Partido do Movimento Democrático Brasileiro PMDB","Segundo colocado nas eleições, assumiu o cargo de governador","2009-02-18","2011-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Ricardo Coutinho","1º de janeiro de 2011","1° de janeiro de 2015",NA,"Partido Socialista Brasileiro PSB","Governador eleito","2011-01-01","2015-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"Ricardo Coutinho","1º de janeiro de 2015","1° de janeiro de 2019",NA,"Partido Socialista Brasileiro PSB","Governador reeleito","2015-01-01","2019-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
"João Azevêdo","1º de janeiro de 2019","1° de janeiro de 2023",NA,"Partido Socialista Brasileiro PSB","Governador eleito","2019-01-01","2023-01-01","PB","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_da_Paraíba","72867924"
