uf,legislatura,ano_pag,desloc,ano_eleicao_bocel
"AC",1,1962,1958,1962
"AC",2,1966,1958,1966
"AC",3,1970,1958,1970
"AC",4,1974,1958,1974
"AC",5,1978,1958,1978
"AC",6,1982,1958,1982
"AC",7,1986,1958,1986
"AC",8,1990,1958,1990
"AC",9,1994,1958,1994
"AC",10,1998,1958,1998
"AC",11,2002,1958,2002
"AC",12,2006,1958,2006
"AC",13,2010,1958,2010
"AC",14,NA,NA,2014
"AC",15,2018,1958,2018
"AC",16,2022,1958,2022
"AL",1,1946,1942,1946
"AL",2,1950,1942,1950
"AL",3,1954,1942,1954
"AL",4,1958,1942,1958
"AL",5,1962,1942,1962
"AL",6,1966,1942,1966
"AL",7,1970,1942,1970
"AL",8,1974,1942,1974
"AL",9,1978,1942,1978
"AL",10,1982,1942,1982
"AL",11,1986,1942,1986
"AL",12,1990,1942,1990
"AL",13,1994,1942,1994
"AL",14,1998,1942,1998
"AL",15,2002,1942,2002
"AL",16,2006,1942,2006
"AL",17,2010,1942,2010
"AL",18,2014,1942,2014
"AL",19,2018,1942,2018
"AL",20,2022,1942,2022
"AM",1,1946,1942,1946
"AM",2,1950,1942,1950
"AM",3,1954,1942,1954
"AM",4,1958,1942,1958
"AM",5,1962,1942,1962
"AM",6,1966,1942,1966
"AM",7,1970,1942,1970
"AM",8,1974,1942,1974
"AM",9,1978,1942,1978
"AM",10,1982,1942,1982
"AM",11,1986,1942,1986
"AM",12,1990,1942,1990
"AM",13,1994,1942,1994
"AM",14,1998,1942,1998
"AM",15,2002,1942,2002
"AM",16,2006,1942,2006
"AM",17,2010,1942,2010
"AM",18,NA,NA,2014
"AM",19,2018,1942,2018
"AM",20,2022,1942,2022
"AP",1,1990,1986,1990
"AP",2,1994,1986,1994
"AP",3,1998,1986,1998
"AP",4,2002,1986,2002
"AP",5,2006,1986,2006
"AP",6,2010,1986,2010
"AP",7,2014,1986,2014
"AP",8,2018,1986,2018
"AP",9,2022,1986,2022
"BA",1,NA,NA,1946
"BA",2,1950,1942,1950
"BA",3,1954,1942,1954
"BA",4,1958,1942,1958
"BA",5,1962,1942,1962
"BA",6,1966,1942,1966
"BA",7,1970,1942,1970
"BA",8,1974,1942,1974
"BA",9,1978,1942,1978
"BA",10,1982,1942,1982
"BA",11,1986,1942,1986
"BA",12,1990,1942,1990
"BA",13,1994,1942,1994
"BA",14,1998,1942,1998
"BA",15,2002,1942,2002
"BA",16,2006,1942,2006
"BA",17,2010,1942,2010
"BA",18,2014,1942,2014
"BA",19,2018,1942,2018
"BA",20,NA,NA,2022
"CE",12,1946,1898,1946
"CE",13,1950,1898,1950
"CE",14,1954,1898,1954
"CE",15,1958,1898,1958
"CE",16,1962,1898,1962
"CE",17,1966,1898,1966
"CE",18,1970,1898,1970
"CE",19,1974,1898,1974
"CE",20,1978,1898,1978
"CE",21,1982,1898,1982
"CE",22,1986,1898,1986
"CE",23,1990,1898,1990
"CE",24,1994,1898,1994
"CE",25,1998,1898,1998
"CE",26,2002,1898,2002
"CE",27,2006,1898,2006
"CE",28,2010,1898,2010
"CE",29,NA,NA,2014
"CE",30,2018,1898,2018
"CE",31,NA,NA,2022
"DF",1,1990,1986,1990
"DF",2,1994,1986,1994
"DF",3,1998,1986,1998
"DF",4,2002,1986,2002
"DF",5,2006,1986,2006
"DF",6,2010,1986,2010
"DF",7,2014,1986,2014
"DF",8,2018,1986,2018
"DF",9,2022,1986,2022
"GO",1,NA,NA,1946
"GO",1,1946,1942,1946
"GO",2,1950,1942,1950
"GO",3,1954,1942,1954
"GO",4,1958,1942,1958
"GO",5,1962,1942,1962
"GO",6,1966,1942,1966
"GO",7,1970,1942,1970
"GO",8,1974,1942,1974
"GO",9,1978,1942,1978
"GO",10,1982,1942,1982
"GO",11,NA,NA,1986
"GO",11,1986,1942,1986
"GO",12,1990,1942,1990
"GO",13,1994,1942,1994
"GO",14,1998,1942,1998
"GO",15,NA,NA,2002
"GO",16,NA,NA,2006
"GO",17,2010,1942,2010
"GO",18,2014,1942,2014
"GO",19,2018,1942,2018
"GO",20,2022,1942,2022
"MA",1,1946,1942,1946
"MA",2,1950,1942,1950
"MA",3,1954,1942,1954
"MA",4,1958,1942,1958
"MA",5,1962,1942,1962
"MA",6,1966,1942,1966
"MA",7,1970,1942,1970
"MA",8,1974,1942,1974
"MA",9,1978,1942,1978
"MA",10,1982,1942,1982
"MA",11,1986,1942,1986
"MA",12,1990,1942,1990
"MA",13,1994,1942,1994
"MA",14,1998,1942,1998
"MA",15,2002,1942,2002
"MA",16,2006,1942,2006
"MA",17,2010,1942,2010
"MA",18,NA,NA,2014
"MA",19,2018,1942,2018
"MA",20,2022,1942,2022
"MG",1,NA,NA,1946
"MG",2,NA,NA,1950
"MG",3,NA,NA,1954
"MG",4,NA,NA,1958
"MG",5,NA,NA,1962
"MG",6,NA,NA,1966
"MG",7,NA,NA,1970
"MG",8,NA,NA,1974
"MG",9,NA,NA,1978
"MG",10,NA,NA,1982
"MG",11,NA,NA,1986
"MG",12,NA,NA,1990
"MG",13,NA,NA,1994
"MG",14,NA,NA,1998
"MG",15,NA,NA,2002
"MG",16,NA,NA,2006
"MG",17,NA,NA,2010
"MG",18,NA,NA,2014
"MG",19,2018,1942,2018
"MG",20,2022,1942,2022
"MS",1,NA,NA,1978
"MS",2,NA,NA,1982
"MS",3,NA,NA,1986
"MS",4,NA,NA,1990
"MS",5,NA,NA,1994
"MS",6,NA,NA,1998
"MS",7,NA,NA,2002
"MS",8,NA,NA,2006
"MS",9,NA,NA,2010
"MS",10,NA,NA,2014
"MS",11,NA,NA,2018
"MS",12,NA,NA,2022
"MT",1,1946,1942,1946
"MT",2,1950,1942,1950
"MT",3,1954,1942,1954
"MT",4,1958,1942,1958
"MT",5,1962,1942,1962
"MT",6,1966,1942,1966
"MT",7,1970,1942,1970
"MT",8,1974,1942,1974
"MT",9,1978,1942,1978
"MT",10,1982,1942,1982
"MT",11,1986,1942,1986
"MT",12,1990,1942,1990
"MT",13,1994,1942,1994
"MT",14,1998,1942,1998
"MT",15,2002,1942,2002
"MT",16,2006,1942,2006
"MT",17,2010,1942,2010
"MT",18,2014,1942,2014
"MT",19,2018,1942,2018
"MT",20,2022,1942,2022
"PA",1,1946,1942,1946
"PA",2,1950,1942,1950
"PA",3,1954,1942,1954
"PA",4,1958,1942,1958
"PA",5,1962,1942,1962
"PA",6,1966,1942,1966
"PA",7,1970,1942,1970
"PA",9,1978,1942,1978
"PA",12,1990,1942,1990
"PA",17,2010,1942,2010
"PA",18,2014,1942,2014
"PB",1,1946,1942,1946
"PB",2,1950,1942,1950
"PB",3,1954,1942,1954
"PB",4,1958,1942,1958
"PB",5,1962,1942,1962
"PB",6,1966,1942,1966
"PB",7,1970,1942,1970
"PB",17,NA,NA,2010
"PB",18,NA,NA,2014
"PB",20,2022,1942,2022
"PE",1,1946,1942,1946
"PE",2,1950,1942,1950
"PE",3,1954,1942,1954
"PE",4,1958,1942,1958
"PE",5,1962,1942,1962
"PE",6,1966,1942,1966
"PE",7,1970,1942,1970
"PE",8,1974,1942,1974
"PE",9,1978,1942,1978
"PE",10,1982,1942,1982
"PE",11,1986,1942,1986
"PE",12,1990,1942,1990
"PE",13,1994,1942,1994
"PE",14,1998,1942,1998
"PE",15,2002,1942,2002
"PE",16,2006,1942,2006
"PE",17,2010,1942,2010
"PE",18,2014,1942,2014
"PE",19,2018,1942,2018
"PE",20,2022,1942,2022
"PR",1,1946,1942,1946
"PR",2,1950,1942,1950
"PR",3,1954,1942,1954
"PR",4,1958,1942,1958
"PR",5,1962,1942,1962
"PR",6,1966,1942,1966
"PR",7,1970,1942,1970
"PR",8,1974,1942,1974
"PR",9,1978,1942,1978
"PR",10,1982,1942,1982
"PR",11,1986,1942,1986
"PR",12,1990,1942,1990
"PR",13,1994,1942,1994
"PR",14,1998,1942,1998
"PR",15,2002,1942,2002
"PR",16,2006,1942,2006
"PR",17,2010,1942,2010
"PR",18,2014,1942,2014
"PR",19,2018,1942,2018
"PR",20,2022,1942,2022
"RJ",1,1974,1970,1974
"RJ",2,1978,1970,1978
"RJ",3,1982,1970,1982
"RJ",4,1986,1970,1986
"RJ",5,1990,1970,1990
"RJ",6,1994,1970,1994
"RJ",7,1998,1970,1998
"RJ",8,2002,1970,2002
"RJ",9,2006,1970,2006
"RJ",10,NA,NA,2010
"RJ",11,2014,1970,2014
"RJ",12,2018,1970,2018
"RJ",13,2022,1970,2022
"RN",44,1946,1770,1946
"RN",45,1950,1770,1950
"RN",46,1954,1770,1954
"RN",47,1958,1770,1958
"RN",48,1962,1770,1962
"RN",49,1966,1770,1966
"RN",50,1970,1770,1970
"RN",51,1974,1770,1974
"RN",52,1978,1770,1978
"RN",53,1982,1770,1982
"RN",54,1986,1770,1986
"RN",55,1990,1770,1990
"RN",56,1994,1770,1994
"RN",57,1998,1770,1998
"RN",58,2002,1770,2002
"RN",59,2006,1770,2006
"RN",60,2010,1770,2010
"RN",61,2014,1770,2014
"RN",62,2018,1770,2018
"RO",1,1982,1978,1982
"RO",2,1986,1978,1986
"RO",3,1990,1978,1990
"RO",4,1994,1978,1994
"RO",5,1998,1978,1998
"RO",6,2002,1978,2002
"RO",7,2006,1978,2006
"RO",8,2010,1978,2010
"RO",9,2014,1978,2014
"RO",10,2018,1978,2018
"RS",21,NA,NA,1882
"RS",22,NA,NA,1886
"RS",23,NA,NA,1890
"RS",24,NA,NA,1894
"RS",37,1946,1798,1946
"RS",38,1950,1798,1950
"RS",39,1954,1798,1954
"RS",40,1958,1798,1958
"RS",41,1962,1798,1962
"RS",42,1966,1798,1966
"RS",43,1970,1798,1970
"RS",44,1974,1798,1974
"RS",45,1978,1798,1978
"RS",46,1982,1798,1982
"RS",47,1986,1798,1986
"RS",48,1990,1798,1990
"RS",49,1994,1798,1994
"RS",50,1998,1798,1998
"RS",51,2002,1798,2002
"RS",52,NA,NA,2006
"RS",53,NA,NA,2010
"RS",54,NA,NA,2014
"RS",55,2018,1798,2018
"RS",56,2022,1798,2022
"SC",17,2010,1942,2010
"SC",18,2014,1942,2014
"SC",19,2018,1942,2018
"SC",20,2022,1942,2022
"SE",1,1946,1942,1946
"SE",2,1950,1942,1950
"SE",3,1954,1942,1954
"SE",4,1958,1942,1958
"SE",5,1962,1942,1962
"SE",6,1966,1942,1966
"SE",7,1970,1942,1970
"SE",8,1974,1942,1974
"SE",9,1978,1942,1978
"SE",10,1982,1942,1982
"SE",11,1986,1942,1986
"SE",12,1990,1942,1990
"SE",13,1994,1942,1994
"SE",14,1998,1942,1998
"SE",15,2002,1942,2002
"SE",16,NA,NA,2006
"SE",17,2010,1942,2010
"SE",18,2014,1942,2014
"SE",19,2018,1942,2018
"SP",1,1946,1942,1946
"SP",2,1950,1942,1950
"SP",3,1954,1942,1954
"SP",4,1958,1942,1958
"SP",5,1962,1942,1962
"SP",6,1966,1942,1966
"SP",7,1970,1942,1970
"SP",8,1974,1942,1974
"SP",9,1978,1942,1978
"SP",10,1982,1942,1982
"SP",11,1986,1942,1986
"SP",12,1990,1942,1990
"SP",13,1994,1942,1994
"SP",14,1998,1942,1998
"SP",15,2002,1942,2002
"SP",16,2006,1942,2006
"SP",17,2010,1942,2010
"SP",18,2014,1942,2014
"SP",19,2018,1942,2018
"SP",20,NA,NA,2022
"TO",1,NA,NA,1986
"TO",2,1990,1982,1990
"TO",3,1994,1982,1994
"TO",4,1998,1982,1998
"TO",5,2002,1982,2002
"TO",6,2006,1982,2006
"TO",7,2010,1982,2010
"TO",8,NA,NA,2014
"TO",9,2018,1982,2018
"TO",10,NA,NA,2022
