municipio,uf,nome_wiki,inicio,fim,forma_saida,condicao,pareado,observacao_original,url
Manaus,AM,David Almeida,2025-01-01,2026-03-31,renuncia,eleito,TRUE,"Prefeito eleito em sufrágio universal em eleições de 27.10.2024 (2º turno), que renunciou o cargo",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Manaus
Imaruí,SC,Odimar Pacheco,1997-01-01,1998-04-03,renuncia,eleito,FALSE,Prefeito eleito por sufrágio universal nas Eleições de 1996 Renunciou o cargo para disputar as Eleições de 1998,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Imaruí
Aperibé,RJ,"Flávio Gomes de Sousa,Dr. Flávio",2013-01-01,2015-12-14,renuncia,eleito,TRUE,Prefeito reeleitoque renunciou ao cargo,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Aperibé
Paulo Afonso,BA,Paulo de Deus,2000-01-01,2004-03-31,renuncia,eleito,FALSE,"Prefeito reeleito em sufrágio universal, renunciou posteriormente a favor do vice",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Paulo_Afonso
Goiana,PE,"José Roberto Tavares Gadelha,Beto Gadelha",2005-01-01,2006-06-02,cassacao,eleito,FALSE,Prefeito eleito emsufrágio universalque teve cassadoo mandato pordecisão do TSE,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Goiana
Água Doce do Norte,ES,Adilson Silvério da CunhaAdilson da Saúde,2013-01-01,2014-08-07,cassacao,eleito,FALSE,"Prefeito eleito em sufrágio universal, posteriormente cassado juntamente com o vice-prefeito",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Água_Doce_do_Norte
Acrelândia,AC,Vilseu Ferreira da Silva,2009-01-01,2009-03-25,cassacao,eleito,TRUE,Prefeito reeleito emsufrágio universalcassado por decisão judicial,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Acrelândia
Barra do Piraí,RJ,Maercio Fernando Oliveira de Almeida,2014-07-09,2016-12-31,cassacao,eleito,TRUE,Prefeito eleito cassado reempossado por decisão do TRE,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Barra_do_Piraí
São Luís (Maranhão),MA,Eduardo Braide,2025-01-01,2026-03-31,renuncia,eleito,TRUE,"Prefeito reeleito emsufrágio universal,renunciou o mandato",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_São_Luís_(Maranhão)
Serra do Navio,AP,Elson Belo Lobato,2021-01-01,2023-12-18,cassacao,eleito,TRUE,"Prefeito reeleito em sufrágio universal, teve seu mandato cassado pela Câmara Municipal de Serra do Navio pela prática de ilegalidades.",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Serra_do_Navio
Paulínia,SP,Dixon Ronan Carvalho,2017-01-01,2018-11-07,cassacao,eleito,FALSE,Prefeito eleito cassado por decisão judicial,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Paulínia
Tangará da Serra,MT,Júlio César Davoli Ladeia,2009-01-01,2009-04-23,cassacao,eleito,TRUE,"Prefeito reeleito em sufrágio universal, posteriormente cassado",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Tangará_da_Serra
Biguaçu,SC,José Castelo Deschamps,2013-01-01,2014-12-10,renuncia,eleito,TRUE,"Prefeito reeleito em sufrágio universal, renuncia ao cargo.",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Biguaçu
Imaruí,SC,Epitácio Bittencourt Sobrinho,2001-01-01,2003-02-05,cassacao,eleito,TRUE,Prefeito eleito por sufrágio universal nas Eleições de 2000 Posteriormente cassado pelo TRE,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Imaruí
Rondonópolis,MT,"José Carlos Junqueira de Araújo,José Carlos do Pátio",2009-01-01,2012-05-14,cassacao,eleito,FALSE,Prefeito eleito cassado pelo TRE por gastos ilícitos na campanha; mas depois absolvido pelo TSE,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Rondonópolis
Boa Vista (Roraima),RR,Arthur Henrique,2025-01-01,2026-04-02,renuncia,eleito,TRUE,"Prefeito reeleito em sufrágio universal, renunciou ao cargo",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Boa_Vista_(Roraima)
Magé,RJ,Núbia Cozzolino,2009-01-01,2010-10-12,renuncia,eleito,TRUE,"Prefeita reeleita emsufrágio universal.Afastada do exercício domandato, por decisão judicial, emsetembro de 2009. Renunciouo mandato em março de 2010",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Magé
Pouso Alegre,MG,Jair Siqueira,2008-04-15,2008-12-31,cassacao,eleito,TRUE,"Cassado pela Câmara Municipal em 15/06/2007, foi reconduzido ao cargo em 15/04/2008 e continuou até o fim do mandato para o qual tinha sido eleito em 2004.",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Pouso_Alegre
São Desidério,BA,Zito Barbosa,2009-01-01,2012-03-02,renuncia,eleito,TRUE,"Prefeito eleito em sufrágio universal, renunciou para se candidatar a prefeito de Barreiras",https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_São_Desidério
Caruaru,PE,Raquel Teixeira Lyra Lucena,2021-01-01,2022-03-31,renuncia,eleito,TRUE,Prefeita reeleita em sufrágio universal que renunciou ao mandato,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Caruaru
