municipio,uf,nome_wiki,nome,nome_urna_recente,ano_eleicao,cargo,condicao,metodo_pareamento,inicio,fim,forma_saida,url
Americana,M2016,Omar Najar,OMAR NAJAR,OMAR NAJAR,2016,PREFEITO,eleito,nome_completo,2017-01-01,2020-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Americana
Santo André,M2016,Paulo Serra,PAULO HENRIQUE PINTO SERRA,PAULO SERRA,2016,PREFEITO,eleito,nome_urna,2017-01-01,2020-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Santo_André
Imaruí,M2004,Braz Guterro,BRAZ GUTERRO,BRAZ,2004,PREFEITO,eleito,nome_completo,2005-01-01,2008-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Imaruí
Jerônimo Monteiro,M2008,Francisco Alcemir Rosseto,FRANCISCO ALCEMIR ROSSETO,DR FRANCISCO,2008,PREFEITO,eleito,nome_completo,2009-01-01,2012-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Jerônimo_Monteiro
Paulista (Pernambuco),M2020,Yves Ribeiro de Albuquerque,YVES RIBEIRO DE ALBUQUERQUE,YVES RIBEIRO,2020,PREFEITO,eleito,nome_completo,2021-01-01,2024-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Paulista_(Pernambuco)
Nova Andradina,M2016,José Gilberto Garcia,JOSE GILBERTO GARCIA,GILBERTO GARCIA,2016,PREFEITO,eleito,nome_completo,2017-01-01,2020-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Nova_Andradina
Hortolândia,M2020,Angelo Perugini,ANGELO AUGUSTO PERUGINI,PERUGINI,2020,PREFEITO,eleito,tokens_no_nome_civil,2021-01-01,2021-04-01,,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Hortolândia
Taquari,M2000,Cláudio Martins,CLÁUDIO LAURINDO DOS REIS MARTINS,CLÁUDIO MARTINS,2000,PREFEITO,eleito,nome_urna,2001-01-01,2004-12-31,fim_regular,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Taquari
Pouso Alegre,M2024,José Dimas da Silva Fonseca,JOSE DIMAS DA SILVA FONSECA,CORONEL DIMAS,2024,PREFEITO,eleito,nome_completo,2025-01-01,,,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Pouso_Alegre
Oiapoque,M2024,Breno Lima de Almeida,BRENO LIMA DE ALMEIDA,BRENO,2024,PREFEITO,eleito,nome_completo,2025-01-01,2025-12-15,,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Oiapoque
