titulo,uf,url
Lista de prefeitos de Arez (Rio Grande do Norte),RN,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Arez_(Rio_Grande_do_Norte)
Lista de prefeitos eleitos no Acre em 1988,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_1988
Lista de prefeitos eleitos no Acre em 1992,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_1992
Lista de prefeitos eleitos no Acre em 1996,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_1996
Lista de prefeitos eleitos no Acre em 2000,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_2000
Lista de prefeitos eleitos no Acre em 2004,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_2004
Lista de prefeitos eleitos no Acre em 2008,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_2008
Lista de prefeitos eleitos no Acre em 2012,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Acre_em_2012
Lista de prefeitos eleitos no Amapá em 1996,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_1996
Lista de prefeitos eleitos no Amapá em 2000,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2000
Lista de prefeitos eleitos no Amapá em 2004,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2004
Lista de prefeitos eleitos no Amapá em 2008,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2008
Lista de prefeitos eleitos no Amapá em 2012,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2012
Lista de prefeitos eleitos no Amapá em 2016,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2016
Lista de prefeitos eleitos no Amapá em 2020,AP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Amapá_em_2020
Lista de prefeitos eleitos no Piauí em 1972,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Piauí_em_1972
Lista de prefeitos eleitos no Piauí em 1976,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Piauí_em_1976
Lista de prefeitos eleitos no Piauí em 1982,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Piauí_em_1982
Lista de prefeitos eleitos no Piauí em 1988,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Piauí_em_1988
Lista de prefeitos eleitos no Piauí em 1992,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_eleitos_no_Piauí_em_1992
Lista dos prefeitos dos municípios da Bahia eleitos em 2012,BA,https://pt.wikipedia.org/wiki/Lista_dos_prefeitos_dos_municípios_da_Bahia_eleitos_em_2012
Lista de prefeitos dos municípios da Paraíba eleitos em 2020,PB,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_dos_municípios_da_Paraíba_eleitos_em_2020
Lista de prefeitos dos municípios da Paraíba eleitos em 2024,PB,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_dos_municípios_da_Paraíba_eleitos_em_2024
Lista de prefeitos dos municípios de Roraima eleitos em 2020,RR,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_dos_municípios_de_Roraima_eleitos_em_2020
Lista de prefeitos dos municípios de Roraima eleitos em 2024,RR,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_dos_municípios_de_Roraima_eleitos_em_2024
Lista de prefeitos dos municípios do Acre eleitos em 2020,AC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_dos_municípios_do_Acre_eleitos_em_2020
Lista de prefeitos do Piauí por mandatos exercidos,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_do_Piauí_por_mandatos_exercidos
