titulo,uf,url
Lista de prefeitos de Acauã (Piauí),PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Acauã_(Piauí)
Lista de prefeitos de Aroeiras do Itaim,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Aroeiras_do_Itaim
Lista de prefeitos de Arraial,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Arraial
Lista de prefeitos de Auriflama,SP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Auriflama
Lista de prefeitos de Campos Novos,SC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Campos_Novos
Lista de prefeitos de Demerval Lobão,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Demerval_Lobão
Lista de prefeitos de Dirceu Arcoverde,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Dirceu_Arcoverde
Lista de prefeitos de Dom Inocêncio,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Dom_Inocêncio
Lista dos Prefeitos de Estreito,MA,https://pt.wikipedia.org/wiki/Lista_dos_Prefeitos_de_Estreito
Lista de prefeitos de Grão-Pará (Santa Catarina),SC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Grão-Pará_(Santa_Catarina)
Lista de prefeitos de Itamaraju,BA,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Itamaraju
Lista de prefeitos de Itapecuru-Mirim,MA,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Itapecuru-Mirim
Lista de prefeitos de Jacobina,BA,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Jacobina
Lista de prefeitos de Joinville,SC,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Joinville
Lista de prefeitos de Monsenhor Gil,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Monsenhor_Gil
Lista de prefeitos de Pau d'Arco do Piauí,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Pau_d'Arco_do_Piauí
Lista de prefeitos de Santana de Parnaíba,SP,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Santana_de_Parnaíba
Lista de prefeitos de São Gonçalo do Piauí,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_São_Gonçalo_do_Piauí
Lista de prefeitos de São João da Canabrava,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_São_João_da_Canabrava
Lista de prefeitos de Teresópolis,RJ,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Teresópolis
Lista de prefeitos de Vera Mendes,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Vera_Mendes
Lista de prefeitos de Vila Nova do Piauí,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Vila_Nova_do_Piauí
Lista de prefeitos de Wall Ferraz,PI,https://pt.wikipedia.org/wiki/Lista_de_prefeitos_de_Wall_Ferraz
