"uf","ano_eleicao","data_referencia","id_mandato","nome_fonte","situacao","url","trecho","tipo_fonte","arquivo_bruto","confianca","arquivo_frente","trecho_no_bruto"
"DF","2014","2018-12-31","M2014_DF_8_10123_70000000591","JULIO CESAR RIBEIRO","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","JULIO CESAR RIBEIRO,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. JULIO CESAR","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_12123_70000000580","CELINA LEAO HIZIM FERREIRA","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","CELINA LEAO HIZIM FERREIRA,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. CELINA LEAO","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_12345_70000000557","JOE CARLO VIANA VALLE","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","JOE CARLO VIANA VALLE,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. JOE VALLE","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_12512_70000000572","REGINALDO VERAS COELHO","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","REGINALDO VERAS COELHO,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. REGINALDO VERAS","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_13013_70000001132","RICARDO VALE DA SILVA","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","RICARDO VALE DA SILVA,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. RICARDO VALE","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_13100_70000001130","FRANCISCO DOMINGOS DOS SANTOS","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","FRANCISCO DOMINGOS DOS SANTOS,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. CHICO VIGILANTE","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_13222_70000001188","WASNY NAKLE DE ROURE","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","WASNY NAKLE DE ROURE,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. WASNY DE ROURE","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_14014_70000000728","CHRISTIANNO NOGUEIRA ARAUJO","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","CHRISTIANNO NOGUEIRA ARAUJO,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB.DEP.CRISTIANO ARAUJO","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_15000_70000000887","ROBERIO BANDEIRA DE NEGREIROS FILHO","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","ROBERIO BANDEIRA DE NEGREIROS FILHO,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. ROBERIO NEGREIROS","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
"DF","2014","2018-12-31","M2014_DF_8_15123_70000000884","WELLINGTON LUIZ DE SOUZA SILVA","em_exercicio","https://dados.cl.df.gov.br/dataset/f046427e-51b2-49e8-afe5-945e82b55ce9/resource/43481657-ef9b-42c0-b35c-b256c4957a4f/download/2018-12-quadro-desmonstrativo-de-pessoal.csv","WELLINGTON LUIZ DE SOUZA SILVA,DEPUTADO,,DEPUTADO DISTRITAL,100,GAB. DEP. WELLINGTON LUIZ","portal_casa","brutos/folha/quadro_pessoal_2018-12.csv","alta","data_raw/assembleias3/DF/composicao_final.csv",TRUE
