"uf","ano_eleicao","id_mandato","nome_fonte","evento","data_evento","precisao_data","data_evento_ate","cargo_assumido","substituto_nome","url","trecho","tipo_fonte","arquivo_bruto","confianca","observacao","arquivo_frente","trecho_no_bruto"
"DF","1998","M1998_DF_8_11123_700000708111231","Adão (Carlos) Xavier","licenca","2002-01-15","dia",,"Administrador Regional de Samambaia",,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para exercer o cargo de Administrador Regional, na Administração Regional de Samambaia - RAXII, entre 15/01/2002 e 05/04/2002.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Carlos Xavier DCL 15/01/2002 pág. 10 Ato do Presidente 18/2002 Comunica retorno Carlos Xavier DCL 05/04/2002 pág. 15","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_11123_700000708111231","Adão (Carlos) Xavier","retorno","2002-04-05","dia",,,,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para exercer o cargo de Administrador Regional, na Administração Regional de Samambaia - RAXII, entre 15/01/2002 e 05/04/2002.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Carlos Xavier DCL 15/01/2002 pág. 10 Ato do Presidente 18/2002 Comunica retorno Carlos Xavier DCL 05/04/2002 pág. 15","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15115_700000708151151","Edimar Pireneus","licenca","2001-12-03","dia",,"Secretário de Desenvolvimento Econômico, Ciência e Tecnologia do DF",,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Desenvolvimento Econômico, Ciência e Tecnologia do DF, em 03/12/2001 e 03/04/2002.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","A planilha registra exoneração no DODF de 03/04/2002, mas não localizou o comunicado de retorno à CLDF. Planilha do SEHIM/CLDF, coluna Documento: Licença Edimar Pirineus DCL 03/12/2001 pág. 5 AMD 95/2001 Exoneração Edimar DODF 03/04/2002 pág. 30 conseguimos achar retorno À cldf?","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15123_700000708151231","Daniel Marques","licenca","2001-02-08","dia",,"Secretário de Trabalho e Direitos Humanos do DF; Administrador Regional de Planaltina",,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Trabalho e Direitos Humanos do DF, nos períodos entre 08/02/2001 e 20/11/2001, 22/11/2001 e 07/02/2002, quando assumiu a Administração Regional de Planaltina - RA VI. Ocupou o cargo até 05/04/2002, quando retorna ao mandato.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Daniel Marques DCL 08/02/2001 pág. 6 AMD 04/2001 Exoneração Daniel Marques DODF 20/11/2001 pág. 9 Comunicado de retorno Daniel Marques DCL 20/11/2001 pág. 70 Ato do Presidente 468/2001 Licença Daniel Marques DCL 22/11/2001 pág. 8 AMD 90/2001 Exoneração Daniel Marques Secretário e Nomeação Planaltina DODF 07/02/2002 pág. 25 Comunica retorno Daniel Marques DCL 05/04/2002 pág. 15 Licença interesse particular Daniel Marques DCL 28/11/2002 pág. 7 AMD 95/2002","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15123_700000708151231","Daniel Marques","retorno","2001-11-20","dia",,,,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Trabalho e Direitos Humanos do DF, nos períodos entre 08/02/2001 e 20/11/2001, 22/11/2001 e 07/02/2002, quando assumiu a Administração Regional de Planaltina - RA VI. Ocupou o cargo até 05/04/2002, quando retorna ao mandato.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Daniel Marques DCL 08/02/2001 pág. 6 AMD 04/2001 Exoneração Daniel Marques DODF 20/11/2001 pág. 9 Comunicado de retorno Daniel Marques DCL 20/11/2001 pág. 70 Ato do Presidente 468/2001 Licença Daniel Marques DCL 22/11/2001 pág. 8 AMD 90/2001 Exoneração Daniel Marques Secretário e Nomeação Planaltina DODF 07/02/2002 pág. 25 Comunica retorno Daniel Marques DCL 05/04/2002 pág. 15 Licença interesse particular Daniel Marques DCL 28/11/2002 pág. 7 AMD 95/2002","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15123_700000708151231","Daniel Marques","licenca","2001-11-22","dia",,"Secretário de Trabalho e Direitos Humanos do DF; Administrador Regional de Planaltina",,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Trabalho e Direitos Humanos do DF, nos períodos entre 08/02/2001 e 20/11/2001, 22/11/2001 e 07/02/2002, quando assumiu a Administração Regional de Planaltina - RA VI. Ocupou o cargo até 05/04/2002, quando retorna ao mandato.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Daniel Marques DCL 08/02/2001 pág. 6 AMD 04/2001 Exoneração Daniel Marques DODF 20/11/2001 pág. 9 Comunicado de retorno Daniel Marques DCL 20/11/2001 pág. 70 Ato do Presidente 468/2001 Licença Daniel Marques DCL 22/11/2001 pág. 8 AMD 90/2001 Exoneração Daniel Marques Secretário e Nomeação Planaltina DODF 07/02/2002 pág. 25 Comunica retorno Daniel Marques DCL 05/04/2002 pág. 15 Licença interesse particular Daniel Marques DCL 28/11/2002 pág. 7 AMD 95/2002","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15123_700000708151231","Daniel Marques","retorno","2002-04-05","dia",,,,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Trabalho e Direitos Humanos do DF, nos períodos entre 08/02/2001 e 20/11/2001, 22/11/2001 e 07/02/2002, quando assumiu a Administração Regional de Planaltina - RA VI. Ocupou o cargo até 05/04/2002, quando retorna ao mandato.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Daniel Marques DCL 08/02/2001 pág. 6 AMD 04/2001 Exoneração Daniel Marques DODF 20/11/2001 pág. 9 Comunicado de retorno Daniel Marques DCL 20/11/2001 pág. 70 Ato do Presidente 468/2001 Licença Daniel Marques DCL 22/11/2001 pág. 8 AMD 90/2001 Exoneração Daniel Marques Secretário e Nomeação Planaltina DODF 07/02/2002 pág. 25 Comunica retorno Daniel Marques DCL 05/04/2002 pág. 15 Licença interesse particular Daniel Marques DCL 28/11/2002 pág. 7 AMD 95/2002","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15123_700000708151231","Daniel Marques","licenca","2002-11-28","dia",,,,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Em 28/11/2002 se licencia para tratar de interesse particular, sem subsídio.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Licença para tratar de interesse particular, sem subsídio. Planilha do SEHIM/CLDF, coluna Documento: Licença Daniel Marques DCL 08/02/2001 pág. 6 AMD 04/2001 Exoneração Daniel Marques DODF 20/11/2001 pág. 9 Comunicado de retorno Daniel Marques DCL 20/11/2001 pág. 70 Ato do Presidente 468/2001 Licença Daniel Marques DCL 22/11/2001 pág. 8 AMD 90/2001 Exoneração Daniel Marques Secretário e Nomeação Planaltina DODF 07/02/2002 pág. 25 Comunica retorno Daniel Marques DCL 05/04/2002 pág. 15 Licença interesse particular Daniel Marques DCL 28/11/2002 pág. 7 AMD 95/2002","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15133_700000708151331","Odilon Aires","licenca","1999-02-03","dia",,"Secretário de Assuntos Fundiários do DF",,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Assuntos Fundiários do DF, entre 03/02/1999 e e 05/04/2002.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Odilon DCL 03/02/1999 pág. 4 AMD 06/99 Comunica retorno Odilon DCL 08/04/2002 pág. 12","data_raw/assembleias3/DF/eventos.csv",TRUE
"DF","1998","M1998_DF_8_15133_700000708151331","Odilon Aires","retorno","2002-04-05","dia",,,,"https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","Licenciado para assumir a Secretaria de Assuntos Fundiários do DF, entre 03/02/1999 e e 05/04/2002.","memorial_casa","brutos/cldf_movimentacoes_planilha_2025_leg3.csv","alta","Planilha do SEHIM/CLDF, coluna Documento: Licença Odilon DCL 03/02/1999 pág. 4 AMD 06/99 Comunica retorno Odilon DCL 08/04/2002 pág. 12","data_raw/assembleias3/DF/eventos.csv",TRUE
