"id_mandato","cargo","sg_uf","ano_eleicao","nome_tse","forma_saida","data_evento","precisao_data","assumiu","fonte_1","trecho_1","fonte_2","trecho_2","confianca","observacao"
"M2022_AC_3_11_10001612476","GOVERNADOR","AC","2022","GLADSON DE LIMA CAMELI","renuncia","2026-04-02","ato","Mailza Assis Cameli (vice-governadora)","https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","assumiu oficialmente o comando do Poder Executivo estadual nesta quinta-feira, 2 [...] Ela sucede o agora ex-governador Gladson Cameli, que renunciou ao cargo para disputar uma vaga no Senado Federal.","https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","formalizou nesta segunda-feira, 24, sua renúncia ao cargo ao encaminhar carta à Assembleia Legislativa do Acre. A saída será efetivada no dia 2 de abril, dentro do prazo legal de desincompatibilização","alta","Carta de renúncia encaminhada à Aleac em 24/03/2026, com efeito em 02/04/2026 (data da transmissão do cargo). Renúncia para disputar o Senado. As páginas oficiais da Agência de Notícias do Acre (agencia.ac.gov.br) sobre a renúncia existem, mas retornaram HTTP 503 e não puderam ser lidas, e por isso as fontes citadas são imprensa regional."
"M1998_AC_4_451_100000104004511","VICE-GOVERNADOR","AC","1998","EDSON SIMÕES CADAXO","falecimento","2002-10-07","ato","","https://www1.folha.uol.com.br/fsp/brasil/fc0810200204.htm","O vice-governador do Acre, Edson Simões Cadaxo, 82, morreu ontem de manhã, em Cruzeiro do Sul, a cerca de 700 km da capital, vítima de hemorragia digestiva.","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/edson-simoes-cadaxo","Com a posse dos novos governantes em 1º de janeiro de 1999, Edson Cadaxo assumiu sua função no Executivo acreano. [...] Faleceu em Rio Banco no dia 7 de outubro de 2002.","alta","Morte no exercício do cargo de vice-governador, antes do fim do mandato. A forma atual do banco (nao_observado) e a ausência de par na Wikipédia não captavam o evento. A Folha de S.Paulo de terça-feira, 08/10/2002, diz 'morreu ontem', isto é, 07/10/2002, e o CPDOC/FGV dá a mesma data. Divergência de local: Folha e Wikipédia dizem Cruzeiro do Sul, o CPDOC diz 'Rio Banco' (Rio Branco). Divergência de idade: a Folha dá 82 anos, a Wikipédia 81 (nascimento em 23/01/1921). Nenhuma fonte lida informa sucessor no cargo de vice. O Alto Acre (oaltoacre.com) também registra a morte do vice de Jorge Viana, sem data."
"M2014_AC_4_13_10000000153","VICE-GOVERNADOR","AC","2014","MARIA NAZARETH MELLO DE ARAUJO LAMBERT","fim_regular","2018-12-31","convencional","Wherles Rocha (Major Rocha), vice eleito em 2018, empossado em 2019-01-01","https://www.al.ac.leg.br/?p=24575","Na tarde desta terça-feira (1º) de janeiro, foi realizada na Assembleia Legislativa do Acre (Aleac) a solenidade de posse do governador eleito, Gladson Cameli (PP), e seu vice, Wherles Rocha (PSDB).","https://ac24horas.com/2018/11/30/nazare-araujo-nomeia-novo-secretario-da-fazenda-acre-que-tambem-respondera-pela-seaprof/","A governadora em exercício do Acre, Nazaré Araújo, assinou a nomeação do novo secretário de Fazenda. O decreto foi rubricado na quarta-feira, dia 28, e publicado nesta sexta, 30, no Diário Oficial","media","Nenhuma fonte encontrada registra saída antecipada. Ela ainda exercia o cargo de vice (e substituía interinamente o governador) em 28/11/2018, e o sucessor tomou posse em 01/01/2019. O site do PT (pt.org.br/nazareth-araujo-o-nome-de-lula-para-senadora-pelo-acre/) afirma: 'Eleita, a chapa exerceu o mandato até 2018.' Foi candidata a 1ª suplente de senador em 2018 sem precisar renunciar. Nenhuma fonte afirma literalmente a conclusão do mandato na data, daí confiança média. Data mantida como fim convencional do banco (mandato_fim)."
"M2022_AC_4_11_10001612477","VICE-GOVERNADOR","AC","2022","MAILZA ASSIS DA SILVA","assumiu_titular","2026-04-02","ato","","https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","A governadora do Acre, Mailza Assis Cameli (Progressistas), assumiu oficialmente o comando do Poder Executivo estadual nesta quinta-feira, 2, durante cerimônia realizada em frente ao Palácio Rio Branco","https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","A saída será efetivada no dia 2 de abril, dentro do prazo legal de desincompatibilização para disputar as eleições de 2026. [...] Com a renúncia, a vice-governadora Mailza Assis assume o comando do Executivo estadual.","alta","Assumiu o governo em definitivo após a renúncia de Gladson Cameli (carta à Aleac em 24/03/2026, efeito em 02/04/2026). Termo de posse assinado na cerimônia de 02/04/2026, com protocolos conduzidos pelo vice-presidente da Aleac, Pedro Longo. Nenhuma fonte lida informa novo ocupante do cargo de vice. As páginas da Agência de Notícias do Acre (agencia.ac.gov.br) retornaram HTTP 503 e não puderam ser lidas."
"M2002_AL_3_40_202","GOVERNADOR","AL","2002","RONALDO AUGUSTO LESSA SANTOS","renuncia","2006-03-31","ato","Luís Abílio de Sousa Neto (vice-governador)","https://www.gazetadealagoas.com.br/politica/53679/lessa-deixa-governo-para-tentar-senado","O agora ex-governador Ronaldo Lessa (PDT) declarou, na cerimônia de transmissão de cargo para o vice Luis Abílio de Sousa (PDT), ocorrida no início da noite de ontem","https://www1.folha.uol.com.br/fsp/brasil/fc0104200613.htm","três deixaram os cargos ontem para disputar uma vaga no Senado: Ronaldo Lessa (PDT), de Alagoas, Marconi Perillo (PSDB), Goiás, e Jarbas Vasconcelos (PMDB), Pernambuco.","alta","Ambas as matérias são de 01/04/2006, logo 'ontem' = 31/03/2006. Gazeta de Alagoas de 31/03/2006 (https://www.gazetadealagoas.com.br/politica/53644/luis-ablio-assume-hoje-governo-de-al) informa que o ato de renúncia seria publicado no Diário Oficial do Estado nesse dia e que Abílio tomaria posse na ALE às 9h. O verbete do CPDOC/FGV diz 'Em abril de 2006 renunciou', divergente em um dia; fico com a imprensa da data. Renúncia para disputar o Senado."
"M2018_AL_3_15_20000621744","GOVERNADOR","AL","2018","JOSÉ RENAN VASCONCELOS CALHEIROS FILHO","renuncia","2022-04-02","ato","Klever Rêgo Loureiro (presidente do TJAL, interino)","https://cgj.tjal.jus.br/?pag=verNoticia&not=20456","Klever Loureiro, governou o Estado de Alagoas do dia 2 de abril ao dia 15 de maio. [...] O desembargador ocupou o cargo após a renúncia do então governador Renan Filho para disputar uma vaga no Senado Federal","https://www.poder360.com.br/eleicoes/renan-filho-renuncia-ao-governo-de-alagoas-para-disputar-senado/","O governador de Alagoas, Renan Filho (MDB-AL), anunciou neste sábado (2.abr.2022) sua renúncia ao cargo de chefia do Estado","alta","Dupla vacância: o vice Luciano Barbosa já havia renunciado para assumir a Prefeitura de Arapiraca; o presidente da ALE, Marcelo Victor, não assumiu por disputar a reeleição. Klever Loureiro governou interinamente de 2022-04-02 a 2022-05-15, quando a ALE elegeu Paulo Dantas em eleição indireta. Data coincide com fim_wp."
"M2002_AL_4_40_203","VICE-GOVERNADOR","AL","2002","LUIS ABILIO DE SOUSA NETO","assumiu_titular","2006-03-31","ato","","https://www.gazetadealagoas.com.br/politica/53644/luis-ablio-assume-hoje-governo-de-al","O vice-governador Luis Abílio de Souza toma posse hoje, às 9 horas, em sessão solene, na Assembléia Legislativa, em substituição ao governador Ronaldo Lessa","https://www.gazetadealagoas.com.br/politica/53679/lessa-deixa-governo-para-tentar-senado","O agora ex-governador Ronaldo Lessa (PDT) declarou, na cerimônia de transmissão de cargo para o vice Luis Abílio de Sousa (PDT), ocorrida no início da noite de ontem","alta","Matéria de 31/03/2006 anuncia a posse para o mesmo dia; matéria de 01/04/2006 confirma a transmissão na noite anterior. As duas fontes são do mesmo jornal; a Folha de S.Paulo de 01/04/2006 (fc0104200613) confirma a saída de Lessa em 31/03/2006 de forma independente."
"M2010_AL_4_45_20000000302","VICE-GOVERNADOR","AL","2010","JOSE THOMAZ DA SILVA NONO NETTO","fim_regular","2014-12-31","convencional","","https://www.gazetadealagoas.com.br/politica/153320/passada-a-eleio-non-diz-que-o-dem-precisa-se-reciclar","O vice-governador José Thomaz Nonô, dirigente estadual do DEM","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/jose-tomas-da-silva-nono-neto","NONÔ, José Tomás *dep. fed. AL 1983-1991; const. 1987-1988; dep. fed. AL 1991-200; vice-governador. 2010-2014","media","Não há ato de fim a documentar; a classificação se apoia na ausência de saída antecipada. A Gazeta de Alagoas de 02/11/2014 ainda o chama de vice-governador; o CPDOC/FGV registra o cargo em 2010-2014 sem mencionar renúncia. Varri os endereços (títulos) das matérias da Gazeta de Alagoas de agosto a dezembro de 2014 à procura do nome e de 'vice' e não encontrei notícia de renúncia ou afastamento. Em 01/01/2015 tomaram posse Renan Filho e o vice Luciano Barbosa (Gazeta de Alagoas, 01/01/2015). data_evento segue mandato_fim da entrada. Nenhuma fonte afirma literalmente que ele cumpriu o mandato até o fim. Wikipedia não tinha par para esta linha."
"M2018_AL_4_15_20000621743","VICE-GOVERNADOR","AL","2018","JOSE LUCIANO BARBOSA DA SILVA","renuncia","2020-12-30","ato","","https://vicegovernadoria.al.gov.br/vice-governadores/51-paginas/vice-governadores/490-jose-luciano-barbosa-da-silva","embora tenha sido reeleito vice-governador em 2018, conforme a Emenda Constitucional nº 16/1997, José Luciano renunciou ao cargo para assumir a Prefeitura de Arapiraca","https://www.gazetadealagoas.com.br/politica/298766/renuncias-tambem-marcam-dia-que-antecede-as-posses","O dia ontem foi de renúncia de cargos para futuros prefeitos [...] Quem também precisou renunciar ao cargo foi o vice-governador Luciano Barbosa (MDB), prefeito eleito de Arapiraca.","media","Renúncia para assumir a Prefeitura de Arapiraca (posse em 01/01/2021, segundo o site da Vice-Governadoria). A coluna da Gazeta de Alagoas é de 31/12/2020, logo 'ontem' = 30/12/2020; o advogado Fábio Gomes confirma que o pedido de renúncia já fora encaminhado ao Palácio República dos Palmares e seria comunicado à ALE. Não localizei o ato publicado no Diário Oficial, de modo que a data de publicação pode ser posterior. Diário do Poder (19/07/2022, lido via r.jina.ai) confirma 'Em dezembro de 2020, Barbosa renunciou ao mandato'; Cadaminuto (15/05/2022) diz 'desde outubro de 2020', incompatível com as demais, pois a Gazeta de Alagoas de 01/10/2020 ainda o trata como vice em exercício. fim_wp 2021-01-01 diverge em dois dias. O cargo de vice ficou vago até a eleição indireta de José Wanderley Neto pela ALE em 15/05/2022."
"M2006_AM_3_15_10587","GOVERNADOR","AM","2006","CARLOS EDUARDO DE SOUZA BRAGA","renuncia","2010-03-31","ato","Omar Aziz (vice-governador)","https://web.archive.org/web/20160602233427/http://www.amazonas.am.gov.br/2010/12/posse-de-omar-aziz-e-jos-melo-hoje-no-teatro-amazonas","O engenheiro civil Omar José Abdel Aziz assumiu o Governo do Amazonas no dia 31 de março de 2010, em substituição ao então governador Eduardo Braga, que renunciou para concorrer a uma vaga no Senado Federal.","https://www.cmm.am.gov.br/memorial/omar-jose-abdel-aziz/","No dia 31 de março de 2010, com a renúncia do Governador do Estado do Amazonas, Omar Aziz assumiu o Governo.","alta","Renúncia para disputar o Senado. Fonte 1 é notícia do portal do Governo do Amazonas (dez/2010), hoje fora do ar (HTTP 404) e lida na cópia do Internet Archive. A IstoÉ Dinheiro de 31/03/2010 (arquivo 18410) antecipava: 'A debandada dos governadores começa hoje, quando saem do cargo [...] Eduardo Braga (PMDB), do Amazonas'. Rádio Itatiaia (perfil de Omar Aziz) também registra 31 de março de 2010. Data coincide com fim_wp."
