"id_mandato","forma_saida","data_evento","precisao_data","causa","fonte_1","trecho_1","fonte_2","trecho_2","confianca","observacao"
"M2022_TO_6_1145_270001643406","retotalizacao","2025-07-31","ato","assumiu a vaga de titular na retotalização das eleições de 2022 no Tocantins feita após a decisão do STF sobre as sobras eleitorais, no lugar de Lázaro Botelho (PP-TO)","https://dadosabertos.camara.leg.br/api/v2/deputados/143084/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://www.diap.org.br/index.php/noticias/noticias/92189-por-6-a-5-stf-decide-que-mudanca-em-sobras-eleitorais-se-aplica-a-2022-e-7-deputados-perdem-mandato","Sai Lázaro Botelho (PP-TO), entra Tiago Dimas (Podemos-TO).","alta","vaga passou a Tiago Dimas; saida confirmada pela composicao atual da Camara em 2026-09-13. A DIAP publicou em 13/03/2025 uma projeção feita antes da retotalização. A API da Câmara confirma a posse em 31/07/2025 e o afastamento de Lázaro Botelho por recontagem em 30/07/2025, e o TSE (DivulgaCandContas 2022) lista Tiago Dimas como 'Eleito por média' e Botelho como 'Suplente'. O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_DF_6_1015_70001615669","retotalizacao","2025-07-31","ato","diplomado pelo TRE-DF na retotalização das eleições de 2022 feita em cumprimento da decisão do STF sobre as sobras eleitorais, assumiu a vaga de Gilvan Maximo (Republicanos-DF)","https://dadosabertos.camara.leg.br/api/v2/deputados/141533/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://www.tre-df.jus.br/comunicacao/noticias/2025/Junho/tredf-diploma-o-deputado-federal-rodrigo-rollemberg","O TREDF efetuou a retotalização dos votos dos cargos proporcionais da última eleição geral e a comissão eleitoral constituída reconheceu que o candidato foi eleito de acordo com o novo entendimento do STF","alta","vaga passou a Rodrigo Rollemberg; saida confirmada pela composicao atual. O TRE-DF diplomou Rollemberg em 17/06/2025 com base nas ADIs 7.228-ED e 7.263-ED. A posse na Câmara foi em 31/07/2025 (API). A troca por Gilvan Máximo consta da DIAP de 13/03/2025 ('Sai Gilvan Máximo (Republicanos-DF), entra Rodrigo Rollemberg (PSB-DF)') e do afastamento de Gilvan por recontagem em 30/07/2025 (API). O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_AP_6_2225_30001648516","retotalizacao","2025-08-01","ato","assumiu a vaga de titular na retotalização das eleições de 2022 no Amapá feita após a decisão do STF sobre as sobras eleitorais","https://dadosabertos.camara.leg.br/api/v2/deputados/178831/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://www.diap.org.br/index.php/noticias/noticias/92189-por-6-a-5-stf-decide-que-mudanca-em-sobras-eleitorais-se-aplica-a-2022-e-7-deputados-perdem-mandato","Sai Sonie Barbosa (PL-AP), entra André Abdon (PP-AP);","alta","vaga passou a Andre Abdon; saida confirmada pela composicao atual. A DIAP (13/03/2025) grafa 'Sonie' e publicou uma projeção feita antes da retotalização. A API da Câmara confirma a posse de André Abdon em 01/08/2025 e o afastamento de Sonize Barbosa por recontagem em 30/07/2025, e o TSE (DivulgaCandContas 2022) lista Abdon como 'Eleito por média' e Sonize como 'Não eleito'. O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_AP_6_1510_30001605452","retotalizacao","2025-08-01","ato","assumiu a vaga de titular na retotalização das eleições de 2022 no Amapá feita após a decisão do STF sobre as sobras eleitorais","https://dadosabertos.camara.leg.br/api/v2/deputados/204353/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2022/AP/2040602022/candidato/30001595536","""descricaoTotalizacao"":""Eleito por média"",""nomeColigacao"":""REPUBLICANOS""","media","vaga passou a Aline Gurgel; saida confirmada pela composicao atual. A entrada por recontagem (Câmara, com posse em 01/08/2025) e a condição atual de eleita (TSE) estão documentadas, mas nenhuma fonte lida liga expressamente Aline Gurgel à decisão das sobras nem diz de quem ela tomou a vaga. A DIAP de 13/03/2025 projetava só três trocas no Amapá e não incluía Aline Gurgel nem Augusto Puppio (nome de urna 'DR. PUPIO', hoje 'Suplente' no TSE), e o par Aline–Puppio sai por exclusão. O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_AP_6_2210_30001648510","retotalizacao","2025-08-01","ato","assumiu a vaga de titular na retotalização das eleições de 2022 no Amapá feita após a decisão do STF sobre as sobras eleitorais","https://dadosabertos.camara.leg.br/api/v2/deputados/233592/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://www.diap.org.br/index.php/noticias/noticias/92189-por-6-a-5-stf-decide-que-mudanca-em-sobras-eleitorais-se-aplica-a-2022-e-7-deputados-perdem-mandato","Sai Silvia Waiãpi (PL-AP), entra Paulo Lemos (PSol-AP);","alta","vaga passou a Paulo Lemos; saida confirmada pela composicao atual. A DIAP publicou em 13/03/2025 uma projeção feita antes da retotalização. A API da Câmara confirma a posse em 01/08/2025 e o afastamento de Silvia Waiãpi por recontagem em 30/07/2025, e o TSE (DivulgaCandContas 2022) lista Paulo Lemos como 'Eleito por média' e Waiãpi como 'Não eleito'. O ultimo_fim de 12/11/2025 no arquivo de entrada é a licença para assumir o cargo de Secretário de Estado de Educação, e ele reassumiu em 31/03/2026 (biografia 233592). O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_AP_6_1234_30001601833","retotalizacao","2025-08-01","ato","assumiu a vaga de titular na retotalização das eleições de 2022 no Amapá feita após a decisão do STF sobre as sobras eleitorais","https://dadosabertos.camara.leg.br/api/v2/deputados/160641/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","https://www.diap.org.br/index.php/noticias/noticias/92189-por-6-a-5-stf-decide-que-mudanca-em-sobras-eleitorais-se-aplica-a-2022-e-7-deputados-perdem-mandato","Sai a Professora Goreth (PDT-AP), entra a Professora Marcivânia (PCdoB-AP);","alta","vaga passou a Professora Marcivania; saida confirmada pela composicao atual. A DIAP publicou em 13/03/2025 uma projeção feita antes da retotalização. A API da Câmara confirma a posse em 01/08/2025 e o afastamento de Professora Goreth por recontagem em 30/07/2025, e o TSE (DivulgaCandContas 2022) lista Marcivania como 'Eleito por média' e Goreth como 'Suplente'. O STF decidiu em 13/03/2025, por 6 a 5, aplicar às eleições de 2022 a nova regra de distribuição das sobras (ADIs 7228 e 7263) e, em 23/05/2025, o ministro Flávio Dino notificou o TSE (https://noticias.stf.jus.br/postsnoticias/stf-notifica-tse-sobre-decisao-no-caso-das-sobras-eleitorais/). A Mesa da Câmara decidiu a convocação em 30/07/2025 e afastou por recontagem, na mesma data, Sonize Barbosa (PL-AP), Silvia Waiãpi (PL-AP), Professora Goreth (PDT-AP), Augusto Puppio (MDB-AP), Gilvan Maximo (Republicanos-DF), Lázaro Botelho (PP-TO) e Lebrão (União-RO) (API da Câmara, históricos)."
"M2022_RO_6_4429_220001605553","retotalizacao","2025-07-29","ato","perdeu a vaga na retotalizacao determinada pelo STF (sobras eleitorais de 2022); Ato da Mesa n. 209 de 29/07/2025","https://www.rondoniagora.com/politica/camara-dos-deputados-declara-perda-de-mandato-de-lebrao","Câmara dos Deputados declara perda de mandato de Lebrão","https://www.camara.leg.br/deputados/220600","","media","vaga passou a Rafael Fera; saida confirmada pela composicao atual da Camara em 2026-09-13; data do Ato da Mesa segundo a imprensa, a conferir no Diario da Camara"
"M2002_PR_6_1345_724","nao_tomou_posse","2003-02-01","convencional","não tomou posse na Câmara porque aceitou o convite do presidente Lula para a diretoria-geral brasileira da Itaipu Binacional, e a suplente Selma Schons (PT-PR) assumiu a vaga","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/schons-selma","Em fevereiro de 2003 assumiu o mandato de deputada no lugar do titular Jorge Samek, que aceitou o convite do presidente Lula para ocupar o cargo de diretor-geral do lado brasileiro da hidroelétrica Itaipu Nacional.","https://www.camara.leg.br/deputados/74403/biografia","Assumiu e foi efetivada no mandato de Deputada Federal na legislatura 2003-2007, em 1º de fevereiro de 2003.","media","data do inicio da legislatura; assumiu a diretoria-geral de Itaipu. A data_evento é a efetivação de Selma Schons, não a data do ato de Samek. Nenhuma fonte lida traz a data nem a forma do afastamento de Samek. A Wikipédia diz que ele renunciou ao mandato, mas não localizei o ato de renúncia nem a nomeação para Itaipu (a página do DOU de 20/01/2003 citada pela Wikipédia não trata de Samek). A biografia da Câmara de Selma Schons não nomeia a vaga que ela ocupou. A ligação vem do verbete do CPDOC/FGV."
"M2002_GO_6_4567_965","nao_tomou_posse","2003-02-01","convencional","renunciou ao mandato de deputado federal antes da posse para presidir o Banco Central e deixou o PSDB","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/meireles-henrique","A fim de assumir o comando do BC, Meireles renunciou ao mandato de deputado federal e deixou o PSDB.","https://web.archive.org/web/20160201220030/http://www.old.pernambuco.com/diario/2002/12/13/brasil1_0.html","Para ocupar o cargo de presidente do Banco Central, Henrique Meirelles terá de renunciar ao mandato de deputado. Ele anunciou que não haverá problemas e disse ainda que se desfiliará do PSDB.","media","renunciou antes da posse para presidir o Banco Central; data do inicio da legislatura. O fato da renúncia tem duas fontes (verbete do CPDOC/FGV e Diario de Pernambuco de 13/12/2002, via Wayback Machine, que noticia a escolha por Lula em 12/12/2002 e a renúncia anunciada). Faltam a data do ato e o nome de quem assumiu a vaga. O CPDOC diz que ele foi empossado no BC em janeiro de 2003. Na bancada de Goiás, a Câmara registra Enio Tatico como 'efetivado' em 01/02/2003 (biografia 74402), mas nenhuma fonte o liga à vaga de Meirelles."
"M2018_RJ_6_1010_190000626396","nao_tomou_posse","2019-01-26","ato","morreu antes da posse, e o suplente Jorge Braz (PRB-RJ) assumiu a vaga","https://diariodorio.com/falece-o-deputado-wagner-montes","Quem assume sua vaga em Brasília, que ele tomaria posse esta semana, é o ex-vereador Jorge Braz (PRB), atual presidente do PROCON-Carioca.","https://natelinha.uol.com.br/televisao/2019/01/26/morre-o-apresentador-wagner-montes-124082.php","A Record TV lamenta o falecimento do nosso querido amigo e apresentador Wagner Montes neste sábado, 26 de janeiro de 2019.","alta","morreu antes da posse. As duas fontes são de imprensa. Não localizei nota da Câmara. A biografia de Jorge Braz na Câmara (205550) registra que 'Foi efetivado(a), em 1 de Fevereiro de 2019', sem nomear a vaga."
