"id_mandato","cargo","sg_uf","ano_eleicao","nome_tse","forma_saida","data_evento","precisao_data","assumiu","fonte_1","trecho_1","fonte_2","trecho_2","confianca","observacao"
"M1998_BR_1_45_280002801000451","PRESIDENTE","BR","1998","FERNANDO HENRIQUE CARDOSO","fim_regular","2002-12-31","convencional","Luiz Inácio Lula da Silva","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/fernando-henrique-cardoso","Período de Governo Presidente da República de 01/01/1999 a 31/12/2002","","","alta","fonte oficial única da Presidência da República"
"M1998_BR_2_251_280002802002511","VICE-PRESIDENTE","BR","1998","MARCO ANTONIO DE OLIVEIRA MACIEL","fim_regular","2002-12-31","convencional","José Alencar Gomes da Silva","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/fernando-henrique-cardoso","Período de Governo Presidente da República de 01/01/1999 a 31/12/2002","","","media","a página do governo nomeia Marco Maciel como vice do período, sem data própria do vice"
"M2002_BR_1_13_9574","PRESIDENTE","BR","2002","LUIZ INÁCIO LULA DA SILVA","fim_regular","2006-12-31","convencional","Luiz Inácio Lula da Silva (reeleito)","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/luiz-inacio-lula-da-silva","Período de Governo Presidente da República de 01/01/2003 a 31/01/2006","","","alta","a galeria oficial grava o fim como 31/01/2006, erro de digitação da fonte; o mandato constitucional termina em 31/12/2006 e o segundo mandato começa em 01/01/2007"
"M2002_BR_2_13_9575","VICE-PRESIDENTE","BR","2002","JOSÉ ALENCAR GOMES DA SILVA","fim_regular","2006-12-31","convencional","José Alencar Gomes da Silva (reeleito)","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/luiz-inacio-lula-da-silva","Período de Governo Presidente da República de 01/01/2003 a 31/01/2006","","","media","a página do governo nomeia José Alencar como vice"
"M2006_BR_1_13_23","PRESIDENTE","BR","2006","LUIZ INÁCIO LULA DA SILVA","fim_regular","2010-12-31","convencional","Dilma Vana Rousseff","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/luiz-inacio-lula-da-silva","Período de Governo Presidente da República de 01/01/2007 a 31/01/2010","","","alta","a galeria oficial grava o fim como 31/01/2010, erro de digitação da fonte; a sucessora toma posse em 01/01/2011"
"M2006_BR_2_13_24","VICE-PRESIDENTE","BR","2006","JOSÉ ALENCAR GOMES DA SILVA","fim_regular","2010-12-31","convencional","Michel Temer","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/luiz-inacio-lula-da-silva","Período de Governo Presidente da República de 01/01/2007 a 31/01/2010","","","media","a página do governo nomeia José Alencar como vice; ele morreu em 29/03/2011, depois do fim do mandato"
"M2010_BR_1_13_280000000005","PRESIDENTE","BR","2010","DILMA VANA ROUSSEFF","fim_regular","2014-12-31","convencional","Dilma Vana Rousseff (reeleita)","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/dilma-vana-rousseff","de 01/01/2011 a 31/12/2014","","","alta",""
"M2010_BR_2_13_280000000006","VICE-PRESIDENTE","BR","2010","MICHEL MIGUEL ELIAS TEMER LULIA","fim_regular","2014-12-31","convencional","Michel Temer (reeleito)","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/dilma-vana-rousseff","de 01/01/2011 a 31/12/2014","","","media","vice da chapa reeleita em 2014"
"M2014_BR_1_13_280000000083","PRESIDENTE","BR","2014","DILMA VANA ROUSSEFF","impeachment","2016-08-31","ato","Michel Temer","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/dilma-vana-rousseff","Em 31 de agosto de 2016 o processo de impeachment foi definido em votação no Senado Federal, com 61 votos a favor do impeachment e 20 contrários","https://www12.senado.leg.br/noticias/materias/2016/08/31/dilma-rousseff-perde-o-mandato-e-michel-temer-toma-posse-ainda-hoje","Por 61 votos a 20, o Senado decidiu que ela perde o mandato e que Michel Temer deve ser empossado definitivamente na presidência da República.","alta","afastada do exercício em 12/05/2016 (a mesma página: ""Em 12 de maio de 2016 a Presidente Dilma Rousseff foi afastada em decorrência de denúncia de crime de responsabilidade"")"
"M2014_BR_2_13_280000000084","VICE-PRESIDENTE","BR","2014","MICHEL MIGUEL ELIAS TEMER LULIA","assumiu_titular","2016-08-31","ato","","https://www12.senado.leg.br/noticias/materias/2016/08/31/dilma-rousseff-perde-o-mandato-e-michel-temer-toma-posse-ainda-hoje","Por 61 votos a 20, o Senado decidiu que ela perde o mandato e que Michel Temer deve ser empossado definitivamente na presidência da República.","https://www.gov.br/secretariageral/pt-br/centrais-de-conteudo/biblioteca-da-pr/galeria-dos-ex-presidentes/dilma-vana-rousseff","Em 31 de agosto de 2016 o processo de impeachment foi definido em votação no Senado Federal","alta","exerceu a Presidência interinamente de 12/05/2016 a 31/08/2016"
