"conjunto","url","arquivo","bytes","md5"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_1998.zip","consulta_cand_1998.zip","2887535","aca2bff680b064cf7fd7b3bb96313944"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2000.zip","consulta_cand_2000.zip","75880065","40caa68ab2398b93a8a8102966fc300c"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2002.zip","consulta_cand_2002.zip","3615898","8f6eeeeb19bcdd076ad185c4537a76f9"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2004.zip","consulta_cand_2004.zip","84193616","113d4081d9a21f065eec601a319daa1d"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2006.zip","consulta_cand_2006.zip","4044252","1d9a367a88cfd00c11fe4987521e2e03"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2008.zip","consulta_cand_2008.zip","86953836","35fc786bbd0bea44373a60e5502ff385"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2010.zip","consulta_cand_2010.zip","4939410","ca8fd70092f71de118fde3528cd789b6"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2012.zip","consulta_cand_2012.zip","116046656","e838a9ccfa32339a532dc9a082ac444b"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2014.zip","consulta_cand_2014.zip","4530527","61656b3283a355dac77ef42caba84246"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2016.zip","consulta_cand_2016.zip","140136131","cbe40b68f3b461a880f780ff779f3fa8"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2018.zip","consulta_cand_2018.zip","4722704","fd4b608dcca15c37c45c949d1b320a4a"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2020.zip","consulta_cand_2020.zip","85384126","9c3fac8e1d4bef6e7b86db13dcd4f4ff"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2022.zip","consulta_cand_2022.zip","4389914","62d3c23f5d86e30ed61b79e165a2192c"
"consulta_cand","https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2024.zip","consulta_cand_2024.zip","63694687","b0531125bb8f47eb9a5eadaaf8c4d079"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_1998.zip","votacao_candidato_munzona_1998.zip","106050738","3485556f2a23dab292879290f1f54f54"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2000.zip","votacao_candidato_munzona_2000.zip","40216594","c5ba41a012628c1474ac499354f6c2fb"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2002.zip","votacao_candidato_munzona_2002.zip","120264128","7985e20af81ba77077161113d3335003"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2004.zip","votacao_candidato_munzona_2004.zip","41242913","9701ea7952bee6dca58b8d59da264ed3"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2006.zip","votacao_candidato_munzona_2006.zip","130940089","b312a8cb6dfed2fee34542b5e91af414"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2008.zip","votacao_candidato_munzona_2008.zip","42670412","1f04e011714da36a70d206cd7c3f36f1"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2010.zip","votacao_candidato_munzona_2010.zip","132565895","389433516b539dff545544ad97c05869"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2012.zip","votacao_candidato_munzona_2012.zip","57792613","5215d7efcb404614817944b454d131ff"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2014.zip","votacao_candidato_munzona_2014.zip","494100168","49c4739bd0e523a9ae3bbf2a5118e259"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2016.zip","votacao_candidato_munzona_2016.zip","60594613","38d11a40997d7229f8180a0e98064d67"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2018.zip","votacao_candidato_munzona_2018.zip","395389280","691ff9adda77ec0c8aadc2ea4bfb9c74"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2020.zip","votacao_candidato_munzona_2020.zip","57815640","e3e473038d010b09c110624ddd1245ae"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2022.zip","votacao_candidato_munzona_2022.zip","580343288","04d38a1ee54f60a26cdc2b214edbe3ce"
"votacao","https://cdn.tse.jus.br/estatistica/sead/odsele/votacao_candidato_munzona/votacao_candidato_munzona_2024.zip","votacao_candidato_munzona_2024.zip","49612998","484b31c8956f1e9cd6cdebbd3e717055"
