"casa","sg_uf","legislatura","nome_alt","tipo_ocupante","id_mandato_cadeira","fonte_oficial","trecho_oficial","confianca","observacao","inicio_a_partir_de"
"senado","AP","52","Gilvam Borges","substituto_por_decisao","M2002_AP_5_401_235","https://legis.senado.leg.br/dadosabertos/senador/30/mandatos","","alta","assumiu a vaga de Joao Capiberibe, cassado em 2005 (API do Senado)",""
"senado","RO","53","Acir Gurgacz","substituto_por_decisao","M2006_RO_5_234_10406","https://legis.senado.leg.br/dadosabertos/senador/4981/mandatos","","alta","assumiu a vaga de Expedito Junior, cassado em 2009 (API do Senado)",""
"senado","AP","54","Gilvam Borges","substituto_por_decisao","M2010_AP_5_401_30000000013","https://legis.senado.leg.br/dadosabertos/senador/30/mandatos","","alta","exerceu ate a posse de Joao Capiberibe em 29/11/2011 (API do Senado)",""
"senado","PA","54","Marinor Brito","substituto_por_decisao","M2010_PA_5_151_140000000180","https://legis.senado.leg.br/dadosabertos/senador/4998/mandatos","","alta","exerceu ate a posse de Jader Barbalho em 28/12/2011 (API do Senado)",""
"senado","PB","54","Wilson Santiago","substituto_por_decisao","M2010_PB_5_456_150000000288","https://legis.senado.leg.br/dadosabertos/senador/3811/mandatos","","alta","exerceu ate a posse de Cassio Cunha Lima em 08/11/2011 (API do Senado)",""
"senado","MT","56","Carlos Fávaro","convocado_terceiro_colocado","M2018_MT_5_170_110000613185","https://legis.senado.leg.br/dadosabertos/senador/6295/mandatos.json","{""CodigoExercicio"":""2954"",""DataInicio"":""2020-04-17"",""DataFim"":""2020-12-14"",""SiglaCausaAfastamento"":""TER"",""DescricaoCausaAfastamento"":""Término do mandato""}","alta","interino de 17/04 a 14/12/2020 e eleito na suplementar a partir de 15/12/2020; a segunda condicao entra pela linha de eleito_em_suplementar",""
"camara","AP","54","Professora Marcivania","empossado_antes_da_retotalizacao","M2010_AP_6_4040_30000000024","https://www.camara.leg.br/noticias/218028-camara-dara-posse-imediata-a-deputados-eleitos-em-recontagem-de-votos","Eles vão substituir, respectivamente, os deputados Zonta (PP-SC), Ságuas Moraes (PT-MT), Professora Marcivânia (PT-AP) e Delegado Waldir (PSDB-GO), que deixam os mandatos.","alta","",""
"camara","MT","54","SÁGUAS MORAES","empossado_antes_da_retotalizacao","M2010_MT_6_4500_110000000073","https://www.camara.leg.br/noticias/218028-camara-dara-posse-imediata-a-deputados-eleitos-em-recontagem-de-votos","Eles vão substituir, respectivamente, os deputados Zonta (PP-SC), Ságuas Moraes (PT-MT), Professora Marcivânia (PT-AP) e Delegado Waldir (PSDB-GO), que deixam os mandatos.","alta","",""
"camara","RJ","54","CRISTIANO","empossado_antes_da_retotalizacao","M2010_RJ_6_2288_190000002552","https://www.camara.leg.br/deputados/114586/biografia","Assumiu e foi efetivado no mandato de Deputado Federal, na Legislatura 2011-2015, a partir de 1º de fevereiro de 2011, e afastado em virtude de nova totalização dos votos pelo TRE, a partir de 12 de agosto de 2011.","alta","",""
"camara","RO","54","LINDOMAR GARÇON","empossado_antes_da_retotalizacao","M2010_RO_6_1234_220000000016","https://www.camara.leg.br/deputados/141483/biografia","Comunicado da SGM, de 16/11/2011, informa que, por decisão do TRE-RO, o Deputado deixa a condição de titular e passa à condição de suplente. Também declara seu afastamento do exercício do mandato.","alta","",""
